Unnamed: 0,model,AMFR_HUMAN_Tsuboyama_2023_4G3O,BBC1_YEAST_Tsuboyama_2023_1TG0,BCHB_CHLTE_Tsuboyama_2023_2KRU,CATR_CHLRE_Tsuboyama_2023_2AMI,CBPA2_HUMAN_Tsuboyama_2023_1O6X,CBX4_HUMAN_Tsuboyama_2023_2K28,CSN4_MOUSE_Tsuboyama_2023_1UFM,CUE1_YEAST_Tsuboyama_2023_2MYX,DNJA1_HUMAN_Tsuboyama_2023_2LO1,DOCK1_MOUSE_Tsuboyama_2023_2M0Y,EPHB2_HUMAN_Tsuboyama_2023_1F0M,FECA_ECOLI_Tsuboyama_2023_2D1U,HECD1_HUMAN_Tsuboyama_2023_3DKM,ISDH_STAAW_Tsuboyama_2023_2LHR,MAFG_MOUSE_Tsuboyama_2023_1K1V,MBD11_ARATH_Tsuboyama_2023_6ACV,MYO3_YEAST_Tsuboyama_2023_2BTT,NKX31_HUMAN_Tsuboyama_2023_2L9R,NUSA_ECOLI_Tsuboyama_2023_1WCL,NUSG_MYCTU_Tsuboyama_2023_2MI6,OBSCN_HUMAN_Tsuboyama_2023_1V1C,ODP2_GEOSE_Tsuboyama_2023_1W4G,PIN1_HUMAN_Tsuboyama_2023_1I6C,PITX2_HUMAN_Tsuboyama_2023_2L7M,POLG_PESV_Tsuboyama_2023_2MXD,PR40A_HUMAN_Tsuboyama_2023_1UZC,PSAE_SYNP2_Tsuboyama_2023_1PSE,RAD_ANTMA_Tsuboyama_2023_2CJJ,RBP1_HUMAN_Tsuboyama_2023_2KWH,RCD1_ARATH_Tsuboyama_2023_5OAO,RCRO_LAMBD_Tsuboyama_2023_1ORC,RD23A_HUMAN_Tsuboyama_2023_1IFY,RFAH_ECOLI_Tsuboyama_2023_2LCL,RL20_AQUAE_Tsuboyama_2023_1GYZ,RPC1_BP434_Tsuboyama_2023_1R69,SAV1_MOUSE_Tsuboyama_2023_2YSB,SDA_BACSU_Tsuboyama_2023_1PV0,SPA_STAAU_Tsuboyama_2023_1LP1,SPG2_STRSG_Tsuboyama_2023_5UBS,SPTN1_CHICK_Tsuboyama_2023_1TUD,SR43C_ARATH_Tsuboyama_2023_2N88,SRBS1_HUMAN_Tsuboyama_2023_2O2W,TCRG1_MOUSE_Tsuboyama_2023_1E0L,THO1_YEAST_Tsuboyama_2023_2WQG,TNKS2_HUMAN_Tsuboyama_2023_5JRT,UBE4B_HUMAN_Tsuboyama_2023_3L1X,UBR5_HUMAN_Tsuboyama_2023_1I2T,VILI_CHICK_Tsuboyama_2023_1YU5,YAIA_ECOLI_Tsuboyama_2023_2KVT,YNZC_BACSU_Tsuboyama_2023_2JVD,AMFR_HUMAN_Tsuboyama_2023_4G3O_epistatic,AMFR_HUMAN_Tsuboyama_2023_4G3O_all,BBC1_YEAST_Tsuboyama_2023_1TG0_epistatic,BBC1_YEAST_Tsuboyama_2023_1TG0_all,BCHB_CHLTE_Tsuboyama_2023_2KRU_epistatic,BCHB_CHLTE_Tsuboyama_2023_2KRU_all,CATR_CHLRE_Tsuboyama_2023_2AMI_epistatic,CATR_CHLRE_Tsuboyama_2023_2AMI_all,CBPA2_HUMAN_Tsuboyama_2023_1O6X_epistatic,CBPA2_HUMAN_Tsuboyama_2023_1O6X_all,CBX4_HUMAN_Tsuboyama_2023_2K28_epistatic,CBX4_HUMAN_Tsuboyama_2023_2K28_all,CSN4_MOUSE_Tsuboyama_2023_1UFM_epistatic,CSN4_MOUSE_Tsuboyama_2023_1UFM_all,CUE1_YEAST_Tsuboyama_2023_2MYX_epistatic,CUE1_YEAST_Tsuboyama_2023_2MYX_all,DNJA1_HUMAN_Tsuboyama_2023_2LO1_epistatic,DNJA1_HUMAN_Tsuboyama_2023_2LO1_all,DOCK1_MOUSE_Tsuboyama_2023_2M0Y_epistatic,DOCK1_MOUSE_Tsuboyama_2023_2M0Y_all,EPHB2_HUMAN_Tsuboyama_2023_1F0M_epistatic,EPHB2_HUMAN_Tsuboyama_2023_1F0M_all,FECA_ECOLI_Tsuboyama_2023_2D1U_epistatic,FECA_ECOLI_Tsuboyama_2023_2D1U_all,HECD1_HUMAN_Tsuboyama_2023_3DKM_epistatic,HECD1_HUMAN_Tsuboyama_2023_3DKM_all,ISDH_STAAW_Tsuboyama_2023_2LHR_epistatic,ISDH_STAAW_Tsuboyama_2023_2LHR_all,MAFG_MOUSE_Tsuboyama_2023_1K1V_epistatic,MAFG_MOUSE_Tsuboyama_2023_1K1V_all,MBD11_ARATH_Tsuboyama_2023_6ACV_epistatic,MBD11_ARATH_Tsuboyama_2023_6ACV_all,MYO3_YEAST_Tsuboyama_2023_2BTT_epistatic,MYO3_YEAST_Tsuboyama_2023_2BTT_all,NKX31_HUMAN_Tsuboyama_2023_2L9R_epistatic,NKX31_HUMAN_Tsuboyama_2023_2L9R_all,NUSA_ECOLI_Tsuboyama_2023_1WCL_epistatic,NUSA_ECOLI_Tsuboyama_2023_1WCL_all,NUSG_MYCTU_Tsuboyama_2023_2MI6_epistatic,NUSG_MYCTU_Tsuboyama_2023_2MI6_all,OBSCN_HUMAN_Tsuboyama_2023_1V1C_epistatic,OBSCN_HUMAN_Tsuboyama_2023_1V1C_all,ODP2_GEOSE_Tsuboyama_2023_1W4G_epistatic,ODP2_GEOSE_Tsuboyama_2023_1W4G_all,PIN1_HUMAN_Tsuboyama_2023_1I6C_epistatic,PIN1_HUMAN_Tsuboyama_2023_1I6C_all,PITX2_HUMAN_Tsuboyama_2023_2L7M_epistatic,PITX2_HUMAN_Tsuboyama_2023_2L7M_all,POLG_PESV_Tsuboyama_2023_2MXD_epistatic,POLG_PESV_Tsuboyama_2023_2MXD_all,PR40A_HUMAN_Tsuboyama_2023_1UZC_epistatic,PR40A_HUMAN_Tsuboyama_2023_1UZC_all,RAD_ANTMA_Tsuboyama_2023_2CJJ_epistatic,RAD_ANTMA_Tsuboyama_2023_2CJJ_all,RBP1_HUMAN_Tsuboyama_2023_2KWH_epistatic,RBP1_HUMAN_Tsuboyama_2023_2KWH_all,RCD1_ARATH_Tsuboyama_2023_5OAO_epistatic,RCD1_ARATH_Tsuboyama_2023_5OAO_all,RCRO_LAMBD_Tsuboyama_2023_1ORC_epistatic,RCRO_LAMBD_Tsuboyama_2023_1ORC_all,RD23A_HUMAN_Tsuboyama_2023_1IFY_epistatic,RD23A_HUMAN_Tsuboyama_2023_1IFY_all,RFAH_ECOLI_Tsuboyama_2023_2LCL_epistatic,RFAH_ECOLI_Tsuboyama_2023_2LCL_all,RL20_AQUAE_Tsuboyama_2023_1GYZ_epistatic,RL20_AQUAE_Tsuboyama_2023_1GYZ_all,RPC1_BP434_Tsuboyama_2023_1R69_epistatic,RPC1_BP434_Tsuboyama_2023_1R69_all,SAV1_MOUSE_Tsuboyama_2023_2YSB_epistatic,SAV1_MOUSE_Tsuboyama_2023_2YSB_all,SDA_BACSU_Tsuboyama_2023_1PV0_epistatic,SDA_BACSU_Tsuboyama_2023_1PV0_all,SPA_STAAU_Tsuboyama_2023_1LP1_epistatic,SPA_STAAU_Tsuboyama_2023_1LP1_all,SPG2_STRSG_Tsuboyama_2023_5UBS_epistatic,SPG2_STRSG_Tsuboyama_2023_5UBS_all,SPTN1_CHICK_Tsuboyama_2023_1TUD_epistatic,SPTN1_CHICK_Tsuboyama_2023_1TUD_all,SR43C_ARATH_Tsuboyama_2023_2N88_epistatic,SR43C_ARATH_Tsuboyama_2023_2N88_all,SRBS1_HUMAN_Tsuboyama_2023_2O2W_epistatic,SRBS1_HUMAN_Tsuboyama_2023_2O2W_all,TCRG1_MOUSE_Tsuboyama_2023_1E0L_epistatic,TCRG1_MOUSE_Tsuboyama_2023_1E0L_all,THO1_YEAST_Tsuboyama_2023_2WQG_epistatic,THO1_YEAST_Tsuboyama_2023_2WQG_all,TNKS2_HUMAN_Tsuboyama_2023_5JRT_epistatic,TNKS2_HUMAN_Tsuboyama_2023_5JRT_all,UBE4B_HUMAN_Tsuboyama_2023_3L1X_epistatic,UBE4B_HUMAN_Tsuboyama_2023_3L1X_all,UBR5_HUMAN_Tsuboyama_2023_1I2T_epistatic,UBR5_HUMAN_Tsuboyama_2023_1I2T_all,VILI_CHICK_Tsuboyama_2023_1YU5_epistatic,VILI_CHICK_Tsuboyama_2023_1YU5_all,YAIA_ECOLI_Tsuboyama_2023_2KVT_epistatic,YAIA_ECOLI_Tsuboyama_2023_2KVT_all,YNZC_BACSU_Tsuboyama_2023_2JVD_epistatic,YNZC_BACSU_Tsuboyama_2023_2JVD_all,category
38,MSA_Transformer_esm_msa1b_t12_100M_UR50S_seed4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.16,-0.23,0.04,0.04,0.26,0.26,0.59,0.61,0.3,0.31,0.17,0.19,0.13,0.13,0.22,0.31,0.58,0.6,0.24,0.26,0.2,0.17,0.42,0.37,-0.01,0.01,0.21,0.24,0.25,0.25,0.52,0.49,0.38,0.35,0.14,0.12,0.45,0.45,0.21,0.2,0.55,0.61,-0.14,-0.03,0.25,0.37,0.41,0.35,0.47,0.48,0.29,0.29,0.44,0.2,-0.3,-0.29,-0.39,-0.35,-0.03,-0.03,0.56,0.56,-0.25,-0.24,0.61,0.61,-0.36,-0.24,0.07,0.12,-0.1,-0.09,0.18,0.18,-0.38,-0.27,0.44,0.49,0.05,0.09,0.4,0.47,0.61,0.57,-0.18,-0.2,-0.04,-0.04,0.17,0.18,0.45,0.45,-0.1,-0.05,0.09,0.15,0.22,0.13,MSA
41,MULAN_MULAN_small_MULAN_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.03,0.44,0.37,0.42,0.43,0.54,0.55,0.41,0.43,-0.07,-0.07,0.46,0.46,0.11,0.03,0.35,0.36,-0.12,-0.11,0.6,0.59,0.32,0.29,0.33,0.28,0.35,0.42,-0.11,-0.14,-0.09,-0.07,0.27,0.28,0.03,0.01,0.6,0.6,0.26,0.26,0.56,0.61,0.06,0.14,0.28,0.22,0.3,0.32,0.3,0.32,0.36,0.31,0.28,0.22,0.27,0.28,-0.27,-0.23,-0.26,-0.26,0.47,0.47,-0.04,-0.12,0.73,0.73,0.35,0.43,0.1,0.06,0.28,0.29,0.22,0.23,-0.18,-0.08,0.07,0.09,0.03,0.05,0.52,0.58,0.28,0.26,0.44,0.33,0.03,0.03,0.23,0.26,0.54,0.55,0.31,0.33,0.26,0.25,0.07,0.03,MULAN
42,PoET_PoET_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11,-0.17,-0.07,-0.05,0.33,0.34,0.59,0.61,0.33,0.34,0.36,0.39,0.22,0.22,0.27,0.36,0.52,0.52,0.35,0.36,0.32,0.31,0.39,0.35,-0.02,0.01,-0.0,0.04,0.25,0.26,0.41,0.38,0.46,0.44,0.22,0.2,0.46,0.46,0.28,0.27,0.58,0.62,-0.18,-0.07,0.46,0.51,0.25,0.26,0.37,0.37,0.4,0.4,0.61,0.38,0.01,0.01,-0.35,-0.3,0.48,0.48,0.48,0.48,-0.29,-0.31,0.5,0.5,0.37,0.45,0.32,0.3,-0.04,-0.03,0.06,0.05,-0.03,0.04,0.49,0.55,0.39,0.38,0.21,0.3,0.61,0.57,0.13,0.1,-0.05,-0.05,0.22,0.22,0.41,0.42,0.01,0.09,0.02,0.05,0.17,0.18,PoET
48,ProSST_ProSST-1024_ProSST-1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,0.36,0.01,0.13,0.25,0.27,0.66,0.66,0.71,0.7,0.25,0.3,0.38,0.38,0.35,0.33,0.57,0.59,0.36,0.38,0.46,0.46,0.46,0.45,0.02,0.02,0.46,0.52,0.48,0.5,0.51,0.5,0.61,0.55,0.09,0.08,0.64,0.64,0.65,0.65,0.55,0.61,0.18,0.25,0.54,0.58,0.48,0.45,0.73,0.75,0.66,0.65,0.38,0.15,0.59,0.58,-0.33,-0.22,0.5,0.5,0.7,0.7,0.1,-0.04,0.67,0.67,0.43,0.43,0.24,0.39,0.43,0.44,-0.08,-0.04,0.45,0.54,0.54,0.61,0.39,0.43,0.48,0.54,0.66,0.66,0.39,0.28,0.33,0.33,0.28,0.29,0.44,0.4,0.7,0.75,0.5,0.55,0.5,0.53,ProSST
47,Progen2_xlarge_Progen2_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,-0.47,-0.2,-0.18,0.36,0.37,0.48,0.51,0.44,0.45,0.21,0.23,0.17,0.17,0.19,0.27,0.59,0.6,0.04,0.06,0.17,0.15,0.2,0.18,-0.15,-0.18,0.1,0.15,-0.24,-0.24,0.4,0.38,0.15,0.18,0.17,0.15,0.38,0.38,0.19,0.18,0.3,0.35,-0.09,0.02,0.46,0.5,0.0,0.04,0.11,0.13,0.3,0.28,0.63,0.33,-0.15,-0.15,-0.4,-0.4,0.55,0.55,0.26,0.26,-0.53,-0.52,0.5,0.5,0.17,0.24,0.12,0.06,-0.52,-0.52,0.14,0.13,-0.01,0.13,0.43,0.5,0.4,0.38,0.07,0.11,0.35,0.33,0.43,0.29,-0.69,-0.69,0.08,0.06,0.28,0.3,0.01,0.12,-0.04,-0.05,0.3,0.26,Progen2
55,ProtGPT2_ProtGPT2_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,-0.35,-0.13,-0.14,0.05,0.06,0.31,0.32,0.09,0.09,0.27,0.3,0.01,0.01,0.26,0.26,0.5,0.5,-0.1,-0.15,0.36,0.34,0.04,-0.01,-0.02,-0.0,0.07,0.12,-0.19,-0.19,0.51,0.47,0.02,0.01,0.26,0.26,0.42,0.42,0.23,0.23,0.43,0.48,0.17,0.26,0.11,0.23,-0.0,0.01,0.15,0.15,0.35,0.3,0.47,0.35,-0.03,-0.04,-0.11,-0.15,-0.34,-0.34,0.19,0.19,0.05,0.02,0.46,0.46,0.31,0.38,0.2,0.25,0.07,0.06,-0.16,-0.16,-0.3,-0.25,0.36,0.45,0.43,0.4,0.07,0.15,0.62,0.63,0.14,0.06,-0.31,-0.31,0.3,0.27,0.02,0.04,-0.03,-0.07,-0.09,-0.07,0.24,0.2,ProtGPT2
64,ProtSSN_ProtSSN_k30_h1280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.02,0.0,0.04,0.21,0.22,0.65,0.66,0.31,0.34,0.3,0.31,0.47,0.47,0.41,0.49,0.26,0.27,0.27,0.32,0.18,0.16,0.45,0.4,0.15,0.17,0.33,0.39,-0.04,-0.06,0.53,0.53,0.5,0.5,0.23,0.21,0.52,0.53,0.22,0.21,0.68,0.71,0.03,0.12,0.35,0.45,0.41,0.39,0.64,0.64,0.47,0.43,0.48,0.29,0.17,0.16,-0.36,-0.26,0.17,0.17,0.7,0.7,0.11,0.18,0.63,0.63,0.29,0.32,-0.05,-0.11,0.22,0.23,0.01,0.03,-0.42,-0.31,0.54,0.6,0.4,0.39,0.27,0.37,0.62,0.58,-0.19,-0.18,0.25,0.25,0.2,0.19,0.54,0.54,-0.06,-0.02,0.27,0.26,0.38,0.34,ProtSSN
54,ProteinMPNN_pmpnn_ll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0,0.04,0.39,0.34,0.34,0.35,0.21,0.22,0.22,0.23,0.22,0.26,0.45,0.45,0.26,0.26,0.33,0.34,0.13,0.11,0.19,0.18,0.37,0.36,0.19,0.19,0.29,0.31,-0.01,-0.01,0.33,0.31,0.22,0.25,0.28,0.26,0.48,0.48,0.41,0.4,0.59,0.62,0.05,0.14,0.22,0.26,0.38,0.38,0.39,0.42,0.52,0.51,0.58,0.51,0.19,0.19,-0.19,-0.16,0.49,0.49,0.23,0.23,0.16,0.09,0.32,0.32,0.26,0.24,0.4,0.5,0.13,0.14,0.16,0.17,0.01,0.06,0.38,0.44,0.53,0.51,0.33,0.36,0.67,0.63,0.12,0.03,0.01,0.01,0.18,0.19,0.32,0.32,0.56,0.59,0.34,0.4,0.31,0.36,ProteinMPNN
69,RITA_xlarge_RITA_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.49,-0.56,-0.17,-0.14,0.2,0.21,0.56,0.58,0.25,0.27,0.24,0.27,0.27,0.27,0.05,0.07,0.54,0.56,0.07,0.07,-0.01,-0.03,0.11,0.09,-0.06,-0.09,-0.24,-0.2,-0.1,-0.09,0.22,0.24,0.21,0.2,0.16,0.14,0.37,0.37,0.28,0.28,0.49,0.54,-0.16,-0.05,0.23,0.33,-0.16,-0.08,0.1,0.13,0.33,0.32,0.54,0.27,0.28,0.28,-0.38,-0.31,-0.32,-0.32,0.23,0.23,-0.37,-0.4,0.55,0.55,0.44,0.46,-0.08,-0.03,-0.2,-0.19,-0.03,-0.03,-0.39,-0.34,0.44,0.5,0.28,0.26,0.12,0.16,0.35,0.34,0.24,0.11,-0.71,-0.71,0.14,0.11,0.34,0.35,0.1,0.16,-0.07,-0.04,0.22,0.21,RITA
70,SaProt_SaProt_35M_AF2_SaProt_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.28,0.29,0.29,0.01,0.03,0.68,0.67,0.59,0.59,0.5,0.51,0.6,0.6,0.42,0.46,0.45,0.46,0.29,0.3,0.4,0.38,0.48,0.45,0.07,0.08,0.33,0.41,0.22,0.21,0.48,0.46,0.4,0.39,0.14,0.12,0.54,0.54,0.44,0.43,0.6,0.64,-0.0,0.09,0.38,0.48,0.29,0.29,0.65,0.67,0.69,0.67,0.42,0.25,0.23,0.22,-0.41,-0.4,0.57,0.57,0.45,0.45,-0.01,-0.07,0.78,0.78,0.57,0.57,0.32,0.44,0.17,0.19,0.12,0.13,-0.13,-0.03,0.32,0.36,0.49,0.5,0.49,0.55,0.66,0.63,0.2,0.18,0.32,0.32,0.15,0.14,0.4,0.41,0.68,0.73,0.6,0.62,0.48,0.52,SaProt
76,TranceptEVE_TranceptEVE_M_avg_score_R_to_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.14,-0.13,-0.09,0.4,0.4,0.31,0.33,0.34,0.37,0.28,0.34,0.22,0.22,0.16,0.29,0.49,0.5,0.44,0.45,0.06,0.04,0.35,0.29,-0.11,-0.11,-0.02,0.02,0.3,0.29,0.32,0.32,0.29,0.28,0.17,0.15,0.48,0.48,0.3,0.3,0.58,0.63,-0.14,-0.04,0.39,0.48,0.25,0.24,0.31,0.29,0.35,0.34,0.63,0.4,-0.11,-0.11,-0.36,-0.29,0.31,0.31,0.54,0.54,-0.51,-0.56,0.59,0.59,0.45,0.48,0.11,0.13,0.26,0.28,0.26,0.27,-0.26,-0.2,0.48,0.56,0.5,0.5,0.28,0.32,0.6,0.56,-0.09,-0.12,0.09,0.09,0.29,0.29,0.39,0.4,0.03,0.14,0.23,0.26,0.32,0.24,TranceptEVE
92,Tranception_Tranception_S_avg_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.17,-0.04,-0.03,0.35,0.35,0.47,0.49,0.37,0.4,0.2,0.23,0.29,0.29,0.13,0.25,0.58,0.59,0.24,0.26,0.12,0.1,0.29,0.24,-0.02,-0.03,0.17,0.22,0.25,0.24,0.27,0.26,0.28,0.27,0.22,0.2,0.52,0.52,0.17,0.16,0.44,0.51,-0.12,-0.02,0.36,0.46,0.34,0.33,0.27,0.27,0.32,0.31,0.46,0.31,-0.14,-0.14,-0.4,-0.37,0.11,0.11,0.41,0.41,-0.52,-0.56,0.6,0.6,0.62,0.61,0.01,0.09,0.21,0.23,0.1,0.12,-0.47,-0.43,0.49,0.53,0.39,0.38,0.13,0.19,0.59,0.56,-0.06,-0.07,0.14,0.14,0.18,0.19,0.39,0.4,-0.04,0.05,0.25,0.27,0.43,0.42,Tranception
102,UniRep_Unirep_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.48,0.18,0.17,0.03,0.03,-0.64,-0.65,0.09,0.05,0.35,0.36,-0.21,-0.21,0.02,-0.02,-0.59,-0.6,0.18,0.17,0.21,0.19,0.01,0.06,0.01,0.04,-0.24,-0.28,-0.04,0.01,0.11,0.07,-0.09,-0.11,-0.36,-0.33,-0.36,-0.36,0.05,0.06,-0.35,-0.41,0.17,0.19,-0.37,-0.4,0.02,-0.0,-0.01,-0.03,-0.49,-0.43,-0.56,-0.2,-0.06,-0.06,0.41,0.34,0.42,0.42,-0.13,-0.13,0.15,0.21,-0.4,-0.4,-0.47,-0.4,-0.04,-0.05,0.18,0.18,0.24,0.24,0.42,0.35,-0.04,-0.02,0.52,0.52,-0.1,-0.1,-0.65,-0.62,-0.27,-0.14,0.37,0.37,0.09,0.13,0.01,0.01,-0.17,-0.26,0.06,0.08,-0.19,-0.25,UniRep
105,VESPA_VESPAl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.21,-0.26,-0.25,-0.22,0.36,0.36,0.61,0.62,0.31,0.33,0.31,0.31,-0.03,-0.03,0.18,0.26,0.28,0.29,0.27,0.27,0.07,0.05,-0.44,-0.42,-0.09,-0.08,-0.07,-0.05,0.28,0.27,0.27,0.21,-0.11,-0.09,0.09,0.07,0.54,0.54,-0.04,-0.05,0.42,0.46,-0.06,0.07,0.19,0.25,-0.34,-0.31,0.42,0.4,0.1,0.13,0.04,-0.02,-0.23,-0.23,-0.33,-0.27,0.18,0.18,-0.06,-0.06,-0.67,-0.65,0.64,0.64,-0.58,-0.48,-0.07,-0.02,0.06,0.07,-0.03,-0.04,-0.33,-0.24,0.42,0.47,0.32,0.28,-0.08,-0.07,0.5,0.45,-0.24,-0.28,-0.65,-0.65,0.22,0.21,0.41,0.41,0.2,0.33,0.17,0.19,0.15,0.15,VESPA
106,VespaG_VespaG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,-0.12,-0.15,-0.07,0.51,0.52,0.65,0.66,0.42,0.44,0.25,0.27,0.19,0.19,0.22,0.34,0.45,0.46,0.23,0.25,0.47,0.47,0.31,0.29,-0.2,-0.19,0.16,0.2,0.11,0.13,0.33,0.33,0.22,0.23,0.25,0.23,0.49,0.49,0.26,0.25,0.4,0.46,-0.16,-0.05,0.28,0.37,0.25,0.22,0.37,0.37,0.22,0.26,0.38,0.14,0.06,0.06,-0.27,-0.22,0.01,0.01,0.41,0.41,-0.4,-0.32,0.53,0.53,-0.26,-0.19,-0.1,-0.04,-0.02,-0.01,-0.12,-0.12,-0.06,0.05,0.5,0.55,0.31,0.34,0.22,0.31,0.5,0.48,-0.12,-0.18,-0.12,-0.12,0.21,0.22,0.36,0.36,0.02,0.11,0.27,0.34,0.21,0.2,VespaG
107,Wavenet_Wavenet_prediction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,0.53,0.16,0.12,-0.26,-0.25,0.16,0.14,-0.32,-0.33,-0.3,-0.31,0.02,0.02,0.09,0.03,-0.54,-0.55,-0.35,-0.36,-0.16,-0.13,-0.37,-0.3,-0.01,0.01,-0.05,-0.09,-0.24,-0.26,-0.42,-0.38,-0.13,-0.14,-0.09,-0.07,-0.35,-0.35,-0.24,-0.23,-0.46,-0.52,0.09,-0.02,-0.44,-0.54,-0.25,-0.28,-0.42,-0.43,-0.18,-0.15,-0.64,-0.43,0.06,0.06,0.37,0.34,-0.43,-0.43,-0.26,-0.26,0.28,0.2,-0.49,-0.49,-0.46,-0.39,-0.09,-0.07,0.06,0.05,-0.07,-0.08,0.02,-0.11,-0.49,-0.56,-0.51,-0.48,-0.18,-0.22,-0.48,-0.47,0.11,0.14,0.1,0.1,-0.18,-0.18,-0.42,-0.41,0.01,-0.09,-0.02,-0.08,-0.13,0.01,Wavenet
