,model,AMFR_HUMAN_Tsuboyama_2023_4G3O,BBC1_YEAST_Tsuboyama_2023_1TG0,BCHB_CHLTE_Tsuboyama_2023_2KRU,CATR_CHLRE_Tsuboyama_2023_2AMI,CBPA2_HUMAN_Tsuboyama_2023_1O6X,CBX4_HUMAN_Tsuboyama_2023_2K28,CSN4_MOUSE_Tsuboyama_2023_1UFM,CUE1_YEAST_Tsuboyama_2023_2MYX,DNJA1_HUMAN_Tsuboyama_2023_2LO1,DOCK1_MOUSE_Tsuboyama_2023_2M0Y,EPHB2_HUMAN_Tsuboyama_2023_1F0M,FECA_ECOLI_Tsuboyama_2023_2D1U,HECD1_HUMAN_Tsuboyama_2023_3DKM,ISDH_STAAW_Tsuboyama_2023_2LHR,MAFG_MOUSE_Tsuboyama_2023_1K1V,MBD11_ARATH_Tsuboyama_2023_6ACV,MYO3_YEAST_Tsuboyama_2023_2BTT,NKX31_HUMAN_Tsuboyama_2023_2L9R,NUSA_ECOLI_Tsuboyama_2023_1WCL,NUSG_MYCTU_Tsuboyama_2023_2MI6,OBSCN_HUMAN_Tsuboyama_2023_1V1C,ODP2_GEOSE_Tsuboyama_2023_1W4G,PIN1_HUMAN_Tsuboyama_2023_1I6C,PITX2_HUMAN_Tsuboyama_2023_2L7M,POLG_PESV_Tsuboyama_2023_2MXD,PR40A_HUMAN_Tsuboyama_2023_1UZC,PSAE_SYNP2_Tsuboyama_2023_1PSE,RAD_ANTMA_Tsuboyama_2023_2CJJ,RBP1_HUMAN_Tsuboyama_2023_2KWH,RCD1_ARATH_Tsuboyama_2023_5OAO,RCRO_LAMBD_Tsuboyama_2023_1ORC,RD23A_HUMAN_Tsuboyama_2023_1IFY,RFAH_ECOLI_Tsuboyama_2023_2LCL,RL20_AQUAE_Tsuboyama_2023_1GYZ,RPC1_BP434_Tsuboyama_2023_1R69,SAV1_MOUSE_Tsuboyama_2023_2YSB,SDA_BACSU_Tsuboyama_2023_1PV0,SPA_STAAU_Tsuboyama_2023_1LP1,SPG2_STRSG_Tsuboyama_2023_5UBS,SPTN1_CHICK_Tsuboyama_2023_1TUD,SR43C_ARATH_Tsuboyama_2023_2N88,SRBS1_HUMAN_Tsuboyama_2023_2O2W,TCRG1_MOUSE_Tsuboyama_2023_1E0L,THO1_YEAST_Tsuboyama_2023_2WQG,TNKS2_HUMAN_Tsuboyama_2023_5JRT,UBE4B_HUMAN_Tsuboyama_2023_3L1X,UBR5_HUMAN_Tsuboyama_2023_1I2T,VILI_CHICK_Tsuboyama_2023_1YU5,YAIA_ECOLI_Tsuboyama_2023_2KVT,YNZC_BACSU_Tsuboyama_2023_2JVD,AMFR_HUMAN_Tsuboyama_2023_4G3O_epistatic,AMFR_HUMAN_Tsuboyama_2023_4G3O_all,BBC1_YEAST_Tsuboyama_2023_1TG0_epistatic,BBC1_YEAST_Tsuboyama_2023_1TG0_all,BCHB_CHLTE_Tsuboyama_2023_2KRU_epistatic,BCHB_CHLTE_Tsuboyama_2023_2KRU_all,CATR_CHLRE_Tsuboyama_2023_2AMI_epistatic,CATR_CHLRE_Tsuboyama_2023_2AMI_all,CBPA2_HUMAN_Tsuboyama_2023_1O6X_epistatic,CBPA2_HUMAN_Tsuboyama_2023_1O6X_all,CBX4_HUMAN_Tsuboyama_2023_2K28_epistatic,CBX4_HUMAN_Tsuboyama_2023_2K28_all,CSN4_MOUSE_Tsuboyama_2023_1UFM_epistatic,CSN4_MOUSE_Tsuboyama_2023_1UFM_all,CUE1_YEAST_Tsuboyama_2023_2MYX_epistatic,CUE1_YEAST_Tsuboyama_2023_2MYX_all,DNJA1_HUMAN_Tsuboyama_2023_2LO1_epistatic,DNJA1_HUMAN_Tsuboyama_2023_2LO1_all,DOCK1_MOUSE_Tsuboyama_2023_2M0Y_epistatic,DOCK1_MOUSE_Tsuboyama_2023_2M0Y_all,EPHB2_HUMAN_Tsuboyama_2023_1F0M_epistatic,EPHB2_HUMAN_Tsuboyama_2023_1F0M_all,FECA_ECOLI_Tsuboyama_2023_2D1U_epistatic,FECA_ECOLI_Tsuboyama_2023_2D1U_all,HECD1_HUMAN_Tsuboyama_2023_3DKM_epistatic,HECD1_HUMAN_Tsuboyama_2023_3DKM_all,ISDH_STAAW_Tsuboyama_2023_2LHR_epistatic,ISDH_STAAW_Tsuboyama_2023_2LHR_all,MAFG_MOUSE_Tsuboyama_2023_1K1V_epistatic,MAFG_MOUSE_Tsuboyama_2023_1K1V_all,MBD11_ARATH_Tsuboyama_2023_6ACV_epistatic,MBD11_ARATH_Tsuboyama_2023_6ACV_all,MYO3_YEAST_Tsuboyama_2023_2BTT_epistatic,MYO3_YEAST_Tsuboyama_2023_2BTT_all,NKX31_HUMAN_Tsuboyama_2023_2L9R_epistatic,NKX31_HUMAN_Tsuboyama_2023_2L9R_all,NUSA_ECOLI_Tsuboyama_2023_1WCL_epistatic,NUSA_ECOLI_Tsuboyama_2023_1WCL_all,NUSG_MYCTU_Tsuboyama_2023_2MI6_epistatic,NUSG_MYCTU_Tsuboyama_2023_2MI6_all,OBSCN_HUMAN_Tsuboyama_2023_1V1C_epistatic,OBSCN_HUMAN_Tsuboyama_2023_1V1C_all,ODP2_GEOSE_Tsuboyama_2023_1W4G_epistatic,ODP2_GEOSE_Tsuboyama_2023_1W4G_all,PIN1_HUMAN_Tsuboyama_2023_1I6C_epistatic,PIN1_HUMAN_Tsuboyama_2023_1I6C_all,PITX2_HUMAN_Tsuboyama_2023_2L7M_epistatic,PITX2_HUMAN_Tsuboyama_2023_2L7M_all,POLG_PESV_Tsuboyama_2023_2MXD_epistatic,POLG_PESV_Tsuboyama_2023_2MXD_all,PR40A_HUMAN_Tsuboyama_2023_1UZC_epistatic,PR40A_HUMAN_Tsuboyama_2023_1UZC_all,RAD_ANTMA_Tsuboyama_2023_2CJJ_epistatic,RAD_ANTMA_Tsuboyama_2023_2CJJ_all,RBP1_HUMAN_Tsuboyama_2023_2KWH_epistatic,RBP1_HUMAN_Tsuboyama_2023_2KWH_all,RCD1_ARATH_Tsuboyama_2023_5OAO_epistatic,RCD1_ARATH_Tsuboyama_2023_5OAO_all,RCRO_LAMBD_Tsuboyama_2023_1ORC_epistatic,RCRO_LAMBD_Tsuboyama_2023_1ORC_all,RD23A_HUMAN_Tsuboyama_2023_1IFY_epistatic,RD23A_HUMAN_Tsuboyama_2023_1IFY_all,RFAH_ECOLI_Tsuboyama_2023_2LCL_epistatic,RFAH_ECOLI_Tsuboyama_2023_2LCL_all,RL20_AQUAE_Tsuboyama_2023_1GYZ_epistatic,RL20_AQUAE_Tsuboyama_2023_1GYZ_all,RPC1_BP434_Tsuboyama_2023_1R69_epistatic,RPC1_BP434_Tsuboyama_2023_1R69_all,SAV1_MOUSE_Tsuboyama_2023_2YSB_epistatic,SAV1_MOUSE_Tsuboyama_2023_2YSB_all,SDA_BACSU_Tsuboyama_2023_1PV0_epistatic,SDA_BACSU_Tsuboyama_2023_1PV0_all,SPA_STAAU_Tsuboyama_2023_1LP1_epistatic,SPA_STAAU_Tsuboyama_2023_1LP1_all,SPG2_STRSG_Tsuboyama_2023_5UBS_epistatic,SPG2_STRSG_Tsuboyama_2023_5UBS_all,SPTN1_CHICK_Tsuboyama_2023_1TUD_epistatic,SPTN1_CHICK_Tsuboyama_2023_1TUD_all,SR43C_ARATH_Tsuboyama_2023_2N88_epistatic,SR43C_ARATH_Tsuboyama_2023_2N88_all,SRBS1_HUMAN_Tsuboyama_2023_2O2W_epistatic,SRBS1_HUMAN_Tsuboyama_2023_2O2W_all,TCRG1_MOUSE_Tsuboyama_2023_1E0L_epistatic,TCRG1_MOUSE_Tsuboyama_2023_1E0L_all,THO1_YEAST_Tsuboyama_2023_2WQG_epistatic,THO1_YEAST_Tsuboyama_2023_2WQG_all,TNKS2_HUMAN_Tsuboyama_2023_5JRT_epistatic,TNKS2_HUMAN_Tsuboyama_2023_5JRT_all,UBE4B_HUMAN_Tsuboyama_2023_3L1X_epistatic,UBE4B_HUMAN_Tsuboyama_2023_3L1X_all,UBR5_HUMAN_Tsuboyama_2023_1I2T_epistatic,UBR5_HUMAN_Tsuboyama_2023_1I2T_all,VILI_CHICK_Tsuboyama_2023_1YU5_epistatic,VILI_CHICK_Tsuboyama_2023_1YU5_all,YAIA_ECOLI_Tsuboyama_2023_2KVT_epistatic,YAIA_ECOLI_Tsuboyama_2023_2KVT_all,YNZC_BACSU_Tsuboyama_2023_2JVD_epistatic,YNZC_BACSU_Tsuboyama_2023_2JVD_all
29,EVE_evol_indices_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09,-0.10,0.10,0.04,-0.43,-0.44,-0.14,-0.15,-0.38,-0.41,-0.37,-0.39,-0.17,-0.17,-0.16,-0.28,-0.40,-0.40,-0.42,-0.44,-0.09,-0.07,-0.38,-0.32,0.05,0.03,-0.11,-0.14,-0.37,-0.38,-0.49,-0.46,-0.31,-0.30,-0.20,-0.17,-0.51,-0.51,-0.37,-0.36,-0.57,-0.62,0.15,0.04,-0.39,-0.49,-0.35,-0.32,-0.28,-0.27,-0.38,-0.38,-0.65,-0.43,0.20,0.20,0.38,0.32,-0.26,-0.26,-0.50,-0.50,0.42,0.46,-0.54,-0.54,0.04,-0.04,-0.10,-0.13,-0.22,-0.23,-0.28,-0.28,0.12,0.03,-0.48,-0.55,-0.47,-0.47,-0.32,-0.38,-0.62,-0.58,0.10,0.11,-0.05,-0.05,-0.31,-0.30,-0.43,-0.42,0.01,-0.03,-0.29,-0.33,-0.31,-0.22
30,EVmutation_prediction_epistatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.14,-0.14,-0.00,0.44,0.44,0.02,0.04,0.38,0.41,0.16,0.17,0.28,0.28,0.14,0.26,0.49,0.50,0.31,0.31,0.23,0.22,0.35,0.29,0.03,0.04,0.14,0.16,0.32,0.32,0.41,0.39,0.10,0.11,0.26,0.24,0.48,0.48,0.42,0.42,0.57,0.61,-0.12,-0.07,0.38,0.48,0.38,0.35,0.26,0.25,0.16,0.16,0.69,0.47,-0.13,-0.14,-0.42,-0.41,0.39,0.39,0.30,0.30,-0.35,-0.36,0.45,0.45,0.64,0.62,0.15,0.19,0.22,0.23,0.11,0.13,-0.17,-0.07,0.46,0.47,0.54,0.52,0.39,0.43,0.62,0.58,-0.14,-0.16,0.38,0.38,0.29,0.29,0.43,0.43,-0.09,-0.07,0.28,0.30,0.34,0.27
31,EVmutation_prediction_independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.15,-0.05,-0.04,0.42,0.42,-0.09,-0.11,0.36,0.40,0.13,0.17,0.27,0.27,0.13,0.25,0.47,0.48,0.25,0.22,0.31,0.31,0.33,0.27,-0.02,-0.02,0.09,0.12,0.31,0.31,0.39,0.36,0.05,0.02,0.30,0.28,0.59,0.59,0.37,0.37,0.41,0.48,-0.12,-0.11,0.45,0.52,0.40,0.35,0.17,0.17,0.25,0.27,0.24,0.19,-0.20,-0.20,-0.41,-0.39,0.15,0.15,0.47,0.47,-0.58,-0.63,0.67,0.67,0.68,0.66,0.12,0.19,0.24,0.25,0.17,0.19,-0.18,-0.07,0.42,0.42,0.52,0.51,0.27,0.33,0.63,0.59,-0.12,-0.15,0.14,0.14,0.17,0.20,0.37,0.36,-0.13,-0.03,0.28,0.32,0.37,0.29
32,GEMME_GEMME_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.10,-0.17,-0.10,0.65,0.66,0.41,0.43,0.42,0.44,0.19,0.22,0.25,0.25,0.07,0.20,0.50,0.50,0.28,0.34,0.26,0.25,0.34,0.32,-0.10,-0.08,0.04,0.08,0.39,0.42,0.38,0.36,0.10,0.13,0.21,0.19,0.57,0.58,0.36,0.36,0.47,0.54,-0.14,-0.03,0.32,0.38,0.24,0.19,0.32,0.33,0.26,0.28,0.46,0.20,0.04,0.04,-0.25,-0.15,0.22,0.22,0.33,0.33,-0.24,-0.31,0.61,0.61,0.34,0.45,0.04,0.02,0.19,0.21,0.15,0.14,-0.07,0.02,0.43,0.50,0.44,0.46,0.29,0.35,0.55,0.55,-0.13,-0.12,-0.10,-0.10,0.31,0.32,0.44,0.43,-0.03,0.01,0.35,0.36,0.30,0.22
33,MIF_mif_mif_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03,-0.04,0.47,0.42,0.54,0.54,0.49,0.50,0.28,0.28,-0.17,-0.15,0.44,0.44,0.27,0.26,0.27,0.28,-0.08,-0.08,0.38,0.39,0.41,0.38,0.17,0.17,0.39,0.43,0.28,0.29,0.35,0.38,0.27,0.32,0.26,0.24,0.51,0.51,0.48,0.47,0.51,0.56,0.11,0.19,0.22,0.24,0.10,0.15,0.29,0.32,0.53,0.51,0.58,0.34,0.20,0.20,-0.40,-0.38,0.17,0.17,0.30,0.30,-0.12,-0.19,0.46,0.46,0.09,0.17,-0.05,0.14,0.15,0.17,0.26,0.27,-0.27,-0.17,0.26,0.35,-0.15,-0.13,0.47,0.53,0.54,0.50,0.21,0.10,-0.05,-0.05,0.34,0.34,0.56,0.55,0.38,0.43,0.39,0.44,0.33,0.36
34,MIF_mifst_mifst_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.28,-0.32,0.20,0.26,0.57,0.58,0.03,0.04,0.26,0.28,0.06,0.07,0.37,0.37,0.28,0.29,0.39,0.37,-0.04,-0.08,0.25,0.24,0.42,0.35,-0.03,-0.03,0.36,0.40,-0.01,-0.02,0.51,0.50,0.33,0.37,0.20,0.19,0.48,0.48,0.45,0.44,0.46,0.50,0.03,0.11,0.28,0.37,-0.26,-0.21,0.31,0.33,0.64,0.58,0.69,0.38,0.27,0.27,-0.34,-0.31,0.54,0.54,0.19,0.19,-0.03,-0.10,0.59,0.59,0.10,0.17,-0.19,0.04,0.11,0.12,0.26,0.28,-0.16,-0.03,0.21,0.30,0.43,0.45,0.35,0.38,0.41,0.40,-0.04,-0.06,-0.20,-0.20,0.23,0.24,0.62,0.60,0.08,0.14,0.23,0.28,0.43,0.44
35,MSA_Transformer_esm_msa1b_t12_100M_UR50S_seed1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.19,-0.25,0.06,0.04,0.26,0.26,0.62,0.64,0.37,0.39,0.21,0.21,0.12,0.12,0.20,0.28,0.53,0.54,0.21,0.25,0.17,0.15,0.20,0.16,-0.00,0.01,-0.04,-0.00,0.24,0.25,0.16,0.16,0.36,0.35,0.11,0.10,0.46,0.47,0.28,0.27,0.52,0.58,-0.14,-0.04,0.28,0.38,0.24,0.20,0.22,0.21,0.28,0.28,0.52,0.20,-0.26,-0.26,-0.34,-0.34,0.05,0.05,0.49,0.49,-0.42,-0.38,0.58,0.58,-0.35,-0.23,0.10,0.13,-0.27,-0.26,0.16,0.16,-0.14,-0.01,0.39,0.44,0.19,0.22,0.33,0.41,0.63,0.59,-0.15,-0.21,-0.07,-0.07,0.10,0.10,0.29,0.29,-0.13,-0.08,-0.04,-0.01,0.24,0.19
36,MSA_Transformer_esm_msa1b_t12_100M_UR50S_seed2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.16,-0.21,0.09,0.08,0.28,0.28,0.62,0.63,0.33,0.35,0.12,0.14,0.10,0.10,0.21,0.31,0.59,0.60,0.21,0.24,0.28,0.26,0.36,0.29,0.06,0.10,0.22,0.26,0.20,0.21,0.48,0.45,0.32,0.29,0.13,0.11,0.46,0.46,0.24,0.23,0.49,0.55,-0.13,-0.02,0.25,0.37,0.17,0.15,0.28,0.28,0.28,0.28,0.25,0.10,-0.29,-0.29,-0.37,-0.33,-0.04,-0.04,0.48,0.48,-0.34,-0.26,0.54,0.54,-0.34,-0.24,0.15,0.17,-0.24,-0.23,0.17,0.17,-0.19,-0.07,0.42,0.47,-0.07,-0.04,0.33,0.41,0.57,0.55,-0.14,-0.21,-0.07,-0.07,0.12,0.13,0.39,0.39,-0.12,-0.07,0.03,0.07,0.25,0.12
37,MSA_Transformer_esm_msa1b_t12_100M_UR50S_seed3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.10,-0.14,0.03,0.03,0.36,0.37,0.59,0.60,0.32,0.35,0.05,0.06,0.13,0.13,0.14,0.24,0.51,0.52,0.17,0.20,0.22,0.20,0.43,0.38,-0.03,-0.01,0.19,0.22,0.33,0.34,0.45,0.41,0.37,0.34,0.19,0.17,0.44,0.44,0.24,0.24,0.54,0.60,-0.16,-0.05,0.17,0.28,0.22,0.21,0.29,0.28,0.22,0.24,0.27,0.10,-0.28,-0.28,-0.36,-0.34,-0.04,-0.04,0.46,0.46,-0.37,-0.35,0.49,0.49,-0.34,-0.23,0.10,0.11,-0.29,-0.28,0.16,0.15,-0.11,0.03,0.52,0.57,0.00,0.04,0.28,0.37,0.63,0.60,-0.17,-0.20,-0.16,-0.16,0.21,0.22,0.35,0.35,-0.08,-0.01,0.08,0.17,0.23,0.16
38,MSA_Transformer_esm_msa1b_t12_100M_UR50S_seed4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.16,-0.23,0.04,0.04,0.26,0.26,0.59,0.61,0.30,0.31,0.17,0.19,0.13,0.13,0.22,0.31,0.58,0.60,0.24,0.26,0.20,0.17,0.42,0.37,-0.01,0.01,0.21,0.24,0.25,0.25,0.52,0.49,0.38,0.35,0.14,0.12,0.45,0.45,0.21,0.20,0.55,0.61,-0.14,-0.03,0.25,0.37,0.41,0.35,0.47,0.48,0.29,0.29,0.44,0.20,-0.30,-0.29,-0.39,-0.35,-0.03,-0.03,0.56,0.56,-0.25,-0.24,0.61,0.61,-0.36,-0.24,0.07,0.12,-0.10,-0.09,0.18,0.18,-0.38,-0.27,0.44,0.49,0.05,0.09,0.40,0.47,0.61,0.57,-0.18,-0.20,-0.04,-0.04,0.17,0.18,0.45,0.45,-0.10,-0.05,0.09,0.15,0.22,0.13
39,MSA_Transformer_esm_msa1b_t12_100M_UR50S_seed5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17,-0.23,0.06,0.07,0.35,0.35,0.58,0.60,0.32,0.34,0.26,0.27,0.12,0.12,0.25,0.33,0.57,0.57,0.25,0.30,0.26,0.24,0.28,0.23,0.01,0.04,0.15,0.17,0.19,0.21,0.34,0.32,0.40,0.37,0.24,0.21,0.43,0.43,0.25,0.24,0.56,0.61,-0.15,-0.04,0.37,0.48,0.26,0.24,0.42,0.42,0.22,0.22,0.27,0.11,-0.24,-0.24,-0.33,-0.34,-0.04,-0.04,0.47,0.47,-0.53,-0.54,0.56,0.56,-0.26,-0.18,0.06,0.07,-0.28,-0.27,0.16,0.16,-0.28,-0.22,0.49,0.54,-0.03,0.00,0.28,0.37,0.67,0.64,-0.13,-0.18,-0.04,-0.04,0.14,0.15,0.39,0.39,-0.10,-0.05,-0.04,-0.02,0.23,0.19
40,MSA_Transformer_esm_msa1b_t12_100M_UR50S_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.16,-0.22,0.05,0.05,0.31,0.31,0.62,0.63,0.33,0.35,0.16,0.17,0.12,0.12,0.21,0.30,0.56,0.57,0.23,0.26,0.22,0.20,0.36,0.31,0.00,0.03,0.16,0.19,0.26,0.27,0.42,0.39,0.37,0.35,0.17,0.15,0.46,0.46,0.25,0.24,0.54,0.60,-0.14,-0.03,0.27,0.38,0.28,0.25,0.34,0.34,0.27,0.28,0.35,0.13,-0.29,-0.28,-0.37,-0.36,-0.02,-0.02,0.51,0.51,-0.41,-0.37,0.56,0.56,-0.34,-0.22,0.10,0.12,-0.23,-0.22,0.17,0.16,-0.22,-0.10,0.46,0.51,0.03,0.06,0.32,0.41,0.63,0.59,-0.16,-0.21,-0.08,-0.08,0.16,0.17,0.38,0.38,-0.10,-0.05,0.02,0.07,0.24,0.16
41,MULAN_MULAN_small_MULAN_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.03,0.44,0.37,0.42,0.43,0.54,0.55,0.41,0.43,-0.07,-0.07,0.46,0.46,0.11,0.03,0.35,0.36,-0.12,-0.11,0.60,0.59,0.32,0.29,0.33,0.28,0.35,0.42,-0.11,-0.14,-0.09,-0.07,0.27,0.28,0.03,0.01,0.60,0.60,0.26,0.26,0.56,0.61,0.06,0.14,0.28,0.22,0.30,0.32,0.30,0.32,0.36,0.31,0.28,0.22,0.27,0.28,-0.27,-0.23,-0.26,-0.26,0.47,0.47,-0.04,-0.12,0.73,0.73,0.35,0.43,0.10,0.06,0.28,0.29,0.22,0.23,-0.18,-0.08,0.07,0.09,0.03,0.05,0.52,0.58,0.28,0.26,0.44,0.33,0.03,0.03,0.23,0.26,0.54,0.55,0.31,0.33,0.26,0.25,0.07,0.03
42,PoET_PoET_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11,-0.17,-0.07,-0.05,0.33,0.34,0.59,0.61,0.33,0.34,0.36,0.39,0.22,0.22,0.27,0.36,0.52,0.52,0.35,0.36,0.32,0.31,0.39,0.35,-0.02,0.01,-0.00,0.04,0.25,0.26,0.41,0.38,0.46,0.44,0.22,0.20,0.46,0.46,0.28,0.27,0.58,0.62,-0.18,-0.07,0.46,0.51,0.25,0.26,0.37,0.37,0.40,0.40,0.61,0.38,0.01,0.01,-0.35,-0.30,0.48,0.48,0.48,0.48,-0.29,-0.31,0.50,0.50,0.37,0.45,0.32,0.30,-0.04,-0.03,0.06,0.05,-0.03,0.04,0.49,0.55,0.39,0.38,0.21,0.30,0.61,0.57,0.13,0.10,-0.05,-0.05,0.22,0.22,0.41,0.42,0.01,0.09,0.02,0.05,0.17,0.18
43,Progen2_base_Progen2_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.45,-0.51,-0.09,-0.09,0.07,0.09,0.51,0.53,0.20,0.24,0.24,0.27,0.18,0.18,0.08,0.08,0.53,0.55,0.11,0.16,-0.04,-0.06,0.26,0.24,-0.00,-0.02,0.27,0.30,-0.31,-0.32,-0.09,-0.05,0.24,0.25,0.22,0.20,0.31,0.31,0.23,0.23,0.49,0.54,-0.12,-0.01,0.15,0.30,-0.19,-0.09,-0.03,-0.01,0.26,0.25,0.51,0.18,-0.09,-0.09,-0.40,-0.38,-0.60,-0.60,0.15,0.15,-0.55,-0.51,0.57,0.57,0.25,0.33,0.09,0.12,-0.05,-0.05,-0.20,-0.20,-0.29,-0.20,0.53,0.58,0.40,0.37,0.13,0.19,0.49,0.47,0.38,0.27,-0.74,-0.74,0.07,0.07,0.27,0.28,-0.14,-0.04,-0.02,0.01,0.26,0.30
44,Progen2_large_Progen2_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.41,-0.49,-0.07,-0.08,0.36,0.37,0.49,0.53,0.33,0.35,0.15,0.18,0.20,0.20,0.01,-0.01,0.59,0.59,-0.01,0.01,0.07,0.05,0.14,0.12,-0.07,-0.10,0.12,0.14,-0.15,-0.16,-0.01,0.03,0.17,0.18,0.06,0.04,0.38,0.38,0.19,0.19,0.62,0.65,-0.12,-0.01,0.28,0.40,-0.19,-0.17,-0.14,-0.12,0.27,0.27,0.46,0.24,0.30,0.30,-0.38,-0.37,-0.38,-0.38,0.22,0.22,-0.66,-0.63,0.41,0.41,0.40,0.47,-0.04,0.03,-0.44,-0.44,-0.07,-0.09,-0.12,-0.00,0.36,0.42,0.31,0.29,0.14,0.18,0.41,0.40,0.26,0.07,-0.68,-0.68,0.05,0.03,0.34,0.36,-0.10,-0.01,0.05,0.03,0.21,0.18
45,Progen2_medium_Progen2_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.56,-0.64,-0.13,-0.13,0.22,0.23,0.64,0.65,0.13,0.14,0.25,0.28,0.33,0.33,0.11,0.10,0.60,0.61,0.06,0.08,-0.00,-0.02,0.32,0.30,-0.05,-0.06,0.24,0.29,-0.25,-0.26,-0.09,-0.05,0.15,0.17,0.19,0.16,0.39,0.39,0.19,0.19,0.41,0.47,-0.19,-0.07,0.28,0.34,-0.02,0.03,-0.09,-0.07,0.34,0.32,0.42,0.16,-0.30,-0.30,-0.40,-0.39,-0.44,-0.44,0.22,0.22,-0.50,-0.50,0.49,0.49,0.30,0.39,0.08,0.19,-0.52,-0.52,-0.27,-0.27,-0.27,-0.19,0.44,0.50,0.38,0.34,0.12,0.15,0.33,0.29,0.32,0.13,-0.53,-0.53,0.14,0.13,0.26,0.27,0.08,0.19,-0.05,-0.02,0.22,0.23
46,Progen2_small_Progen2_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.49,-0.55,-0.17,-0.20,-0.11,-0.11,0.58,0.61,-0.02,0.01,0.29,0.32,0.40,0.40,-0.05,-0.06,0.55,0.56,0.12,0.15,0.04,0.01,-0.03,-0.05,-0.20,-0.22,0.18,0.21,-0.13,-0.15,-0.06,-0.03,0.23,0.23,0.16,0.14,0.34,0.34,-0.07,-0.08,0.25,0.32,-0.18,-0.07,0.12,0.27,0.11,0.13,0.05,0.05,0.16,0.18,0.51,0.18,0.13,0.12,-0.42,-0.40,-0.54,-0.54,0.30,0.30,-0.41,-0.42,0.45,0.45,0.56,0.54,0.18,0.18,-0.17,-0.17,-0.25,-0.25,-0.29,-0.19,0.45,0.48,0.33,0.31,0.09,0.14,0.25,0.22,0.36,0.17,-0.57,-0.57,0.12,0.10,0.30,0.31,-0.26,-0.23,-0.05,-0.02,0.19,0.23
47,Progen2_xlarge_Progen2_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.40,-0.47,-0.20,-0.18,0.36,0.37,0.48,0.51,0.44,0.45,0.21,0.23,0.17,0.17,0.19,0.27,0.59,0.60,0.04,0.06,0.17,0.15,0.20,0.18,-0.15,-0.18,0.10,0.15,-0.24,-0.24,0.40,0.38,0.15,0.18,0.17,0.15,0.38,0.38,0.19,0.18,0.30,0.35,-0.09,0.02,0.46,0.50,0.00,0.04,0.11,0.13,0.30,0.28,0.63,0.33,-0.15,-0.15,-0.40,-0.40,0.55,0.55,0.26,0.26,-0.53,-0.52,0.50,0.50,0.17,0.24,0.12,0.06,-0.52,-0.52,0.14,0.13,-0.01,0.13,0.43,0.50,0.40,0.38,0.07,0.11,0.35,0.33,0.43,0.29,-0.69,-0.69,0.08,0.06,0.28,0.30,0.01,0.12,-0.04,-0.05,0.30,0.26
