,model,D7PM05_CLYGR_Somermeyer_2022_all,D7PM05_CLYGR_Somermeyer_2022_epistatic,Q6WV13_9MAXI_Somermeyer_2022_all,Q6WV13_9MAXI_Somermeyer_2022_epistatic,Q8WTC7_9CNID_Somermeyer_2022_all,Q8WTC7_9CNID_Somermeyer_2022_epistatic
63,ProtSSN_ProtSSN_k20_h1280,0.50,0.40,0.27,0.24,0.25,0.24
64,ProtSSN_ProtSSN_k30_h1280,0.49,0.38,0.26,0.23,0.24,0.22
65,ProtSSN_ProtSSN_ensemble,0.50,0.40,0.26,0.23,0.25,0.23
66,RITA_large_RITA_score,0.11,0.06,0.00,-0.07,0.06,0.03
67,RITA_medium_RITA_score,0.04,-0.00,0.05,-0.00,0.04,0.02
68,RITA_small_RITA_score,0.04,0.02,0.01,-0.04,0.01,-0.02
69,RITA_xlarge_RITA_score,0.08,0.05,0.10,0.04,0.01,0.00
70,SaProt_SaProt_35M_AF2_SaProt_score,0.21,0.12,0.03,-0.01,-0.00,0.02
71,SaProt_SaProt_650M_AF2_SaProt_score,0.34,0.22,0.07,0.02,0.14,0.09
72,TranceptEVE_TranceptEVE_L_avg_score_L_to_R,0.62,0.44,0.33,0.22,0.32,0.24
73,TranceptEVE_TranceptEVE_L_avg_score_R_to_L,0.62,0.43,0.32,0.21,0.36,0.27
74,TranceptEVE_TranceptEVE_L_avg_score,0.62,0.44,0.32,0.22,0.34,0.26
75,TranceptEVE_TranceptEVE_M_avg_score_L_to_R,0.63,0.45,0.33,0.22,0.31,0.24
76,TranceptEVE_TranceptEVE_M_avg_score_R_to_L,0.63,0.45,0.33,0.22,0.31,0.25
77,TranceptEVE_TranceptEVE_M_avg_score,0.63,0.45,0.33,0.22,0.31,0.25
78,TranceptEVE_TranceptEVE_S_avg_score_L_to_R,0.63,0.45,0.33,0.22,0.30,0.24
79,TranceptEVE_TranceptEVE_S_avg_score_R_to_L,0.63,0.45,0.33,0.22,0.31,0.24
80,TranceptEVE_TranceptEVE_S_avg_score,0.63,0.45,0.33,0.22,0.30,0.24
81,Tranception_Tranception_L_avg_score_L_to_R,0.53,0.35,0.25,0.16,0.28,0.19
82,Tranception_Tranception_L_avg_score_R_to_L,0.53,0.34,0.24,0.16,0.33,0.23
83,Tranception_Tranception_L_avg_score,0.53,0.34,0.25,0.16,0.32,0.22
84,Tranception_Tranception_L_reruns_avg_score_L_to_R,0.53,0.35,0.25,0.16,0.28,0.19
85,Tranception_Tranception_L_reruns_avg_score_R_to_L,0.53,0.34,0.24,0.16,0.33,0.23
86,Tranception_Tranception_L_reruns_avg_score,0.53,0.34,0.25,0.16,0.32,0.22
87,Tranception_Tranception_M_avg_score_L_to_R,0.53,0.34,0.25,0.16,0.24,0.16
88,Tranception_Tranception_M_avg_score_R_to_L,0.54,0.35,0.25,0.16,0.24,0.16
89,Tranception_Tranception_M_avg_score,0.54,0.35,0.25,0.16,0.24,0.16
90,Tranception_Tranception_S_avg_score_L_to_R,0.53,0.34,0.25,0.16,0.23,0.15
91,Tranception_Tranception_S_avg_score_R_to_L,0.54,0.35,0.24,0.16,0.23,0.16
92,Tranception_Tranception_S_avg_score,0.54,0.34,0.25,0.16,0.23,0.16
93,Tranception_no_retrieval_Tranception_L_avg_score_L_to_R,0.14,0.10,0.01,-0.03,0.24,0.17
94,Tranception_no_retrieval_Tranception_L_avg_score_R_to_L,0.12,0.06,0.01,-0.03,0.32,0.21
95,Tranception_no_retrieval_Tranception_L_avg_score,0.16,0.08,0.01,-0.03,0.30,0.20
96,Tranception_no_retrieval_Tranception_M_avg_score_L_to_R,0.12,0.08,0.03,-0.03,0.01,0.03
97,Tranception_no_retrieval_Tranception_M_avg_score_R_to_L,0.12,0.05,0.02,-0.04,-0.00,-0.00
98,Tranception_no_retrieval_Tranception_M_avg_score,0.12,0.07,0.02,-0.03,0.01,0.02
99,Tranception_no_retrieval_Tranception_S_avg_score_L_to_R,0.07,0.02,0.04,-0.02,-0.03,-0.02
100,Tranception_no_retrieval_Tranception_S_avg_score_R_to_L,0.11,0.05,0.01,-0.05,-0.02,-0.01
101,Tranception_no_retrieval_Tranception_S_avg_score,0.10,0.04,0.03,-0.03,-0.03,-0.02
102,UniRep_Unirep_score,-0.07,-0.04,0.03,0.04,-0.03,-0.01
103,UniRep_evotuned_Unirep_score,-0.48,-0.26,-0.12,-0.07,-0.30,-0.22
104,VESPA_VESPA,0.56,0.45,0.34,0.30,0.30,0.25
105,VESPA_VESPAl,0.57,0.46,0.35,0.32,0.31,0.25
106,VespaG_VespaG,0.60,0.45,0.36,0.31,0.30,0.25
107,Wavenet_Wavenet_prediction,-0.44,-0.30,-0.29,-0.26,-0.23,-0.20
