model,spearman_all,spearman_epistatic,group
ESCOTT,0.4337032686188491,0.2399465017452352,top_k
GEMME,0.3992529459889452,0.220882637212513,top_k
PoET,0.4186593931280272,0.2345390261096487,top_k
RSALOR,0.5074814004182315,0.2314950887435347,top_k
VESPAl,0.3272744365361124,0.2073965912781867,top_k
MLP,0.7089244289595843,0.1759832399800315,baseline
Linear_regression,0.7080269611539949,0.164314408826236,baseline
