model,spearman_all,spearman_epistatic,group
ESCOTT,0.6321460055673047,0.2692117679434326,top_k
ProtSSN_k20_h512,0.495857689693431,0.2851178168047564,top_k
VESPA,0.5449019587679512,0.3087360029200497,top_k
VESPAl,0.5579027777535208,0.3056378961505915,top_k
Wavenet,0.4047290742638489,0.2925284996146821,top_k
MLP,0.5410261322384238,-0.3198499132425613,baseline
Linear_regression,0.594293659301566,-0.326326417448998,baseline
