model,spearman_all,spearman_epistatic,group
ESCOTT,0.4477363911220292,0.2391552820028493,top_k
MSA_Transformer_ensemble,0.3828494341650125,0.2348307605133485,top_k
PoET,0.379557820584817,0.2391857610104588,top_k
TranceptEVE_L,0.3862299832669558,0.2288743629770875,top_k
Tranception_L,0.3719354397942019,0.2180353283529696,top_k
MLP,0.5843436960996379,0.1273439007227277,baseline
Linear_regression,0.5804488482386427,0.1459680646195947,baseline
