Dataset,Top-1,Top-2,Top-3,Top-4,Top-5
AMFR_HUMAN_4G3O,Linear_regression (0.505),MLP (0.504),ProSST-1024 (0.366),SaProt_35M_AF2 (0.306),VenusREM (0.214)
CBX4_HUMAN_2K28,Linear_regression (0.444),MLP (0.444),ESM-IF1 (0.380),S2F_MSA (0.377),ESM3 (0.368)
DOCK1_MOUSE_2M0Y,MLP (0.550),Linear_regression (0.549),VenusREM (0.406),EVE_single (0.383),SiteRM (0.371)
HECD1_HUMAN_3DKM,Linear_regression (0.532),MLP (0.532),ESM-IF1 (0.209),ESM2_150M (0.204),ESM3 (0.164)
MYO3_YEAST_2BTT,MLP (0.669),Linear_regression (0.669),VenusREM (0.590),ProSST-1024 (0.566),ESMC-300M (0.564)
OBSCN_HUMAN_1V1C,Linear_regression (0.712),MLP (0.712),S3F (0.610),ESMC-300M (0.596),ESM2_150M (0.592)
POLG_PESV_2MXD,MLP (0.786),Linear_regression (0.786),SaProt_35M_AF2 (0.757),ProSST-1024 (0.737),VenusREM (0.667)
SPTN1_CHICK_1TUD,Linear_regression (0.833),MLP (0.833),ProSST-1024 (0.785),S3F (0.764),VenusREM (0.743)
UBE4B_HUMAN_3L1X,Linear_regression (0.647),MLP (0.647),ESCOTT (0.388),ESM3 (0.385),GEMME (0.365)
YAIA_ECOLI_2KVT,Linear_regression (0.519),MLP (0.518),SaProt_35M_AF2 (0.486),CARP_76M (0.442),S3F (0.362)
