Dataset,Top-1,Top-2,Top-3,Top-4,Top-5
AMFR_HUMAN_4G3O,Linear_regression (0.478),MLP (0.477),SaProt_35M_AF2 (0.285),ProSST-2048 (0.198),VenusREM (0.195)
CBX4_HUMAN_2K28,EVmutation (0.386),GEMME (0.378),ESCOTT (0.373),ESM-IF1 (0.364),ESM3 (0.351)
DOCK1_MOUSE_2M0Y,Linear_regression (0.417),MLP (0.416),VESPAl (0.371),VenusREM (0.367),ProSST-2048 (0.354)
HECD1_HUMAN_3DKM,MLP (0.545),Linear_regression (0.545),Progen3_3b (0.434),Wavenet (0.371),ESM2_150M (0.332)
MYO3_YEAST_2BTT,Linear_regression (0.646),MLP (0.645),ProSST-2048 (0.639),VenusREM (0.619),ESMC-300M (0.596)
OBSCN_HUMAN_1V1C,MLP (0.586),Linear_regression (0.585),ESMC-300M (0.546),ProSST-2048 (0.534),ESM2_150M (0.528)
POLG_PESV_2MXD,ProSST-2048 (0.790),MLP (0.785),Linear_regression (0.784),SaProt_35M_AF2 (0.768),S3F (0.702)
SPTN1_CHICK_1TUD,MLP (0.863),Linear_regression (0.863),S3F (0.806),VenusREM (0.805),ESCOTT (0.793)
UBE4B_HUMAN_3L1X,Linear_regression (0.584),MLP (0.583),ESM3 (0.326),ESCOTT (0.323),MIF (0.320)
YAIA_ECOLI_2KVT,Linear_regression (0.435),MLP (0.434),SaProt_35M_AF2 (0.429),CARP_76M (0.392),ProteinMPNN (0.344)
