,model,AMFR_HUMAN_Tsuboyama_2023_4G3O_all,AMFR_HUMAN_Tsuboyama_2023_4G3O_epistatic,BBC1_YEAST_Tsuboyama_2023_1TG0_all,BBC1_YEAST_Tsuboyama_2023_1TG0_epistatic,BCHB_CHLTE_Tsuboyama_2023_2KRU_all,BCHB_CHLTE_Tsuboyama_2023_2KRU_epistatic,CATR_CHLRE_Tsuboyama_2023_2AMI_all,CATR_CHLRE_Tsuboyama_2023_2AMI_epistatic,CBPA2_HUMAN_Tsuboyama_2023_1O6X_all,CBPA2_HUMAN_Tsuboyama_2023_1O6X_epistatic,CBX4_HUMAN_Tsuboyama_2023_2K28_all,CBX4_HUMAN_Tsuboyama_2023_2K28_epistatic,CSN4_MOUSE_Tsuboyama_2023_1UFM_all,CSN4_MOUSE_Tsuboyama_2023_1UFM_epistatic,CUE1_YEAST_Tsuboyama_2023_2MYX_all,CUE1_YEAST_Tsuboyama_2023_2MYX_epistatic,DNJA1_HUMAN_Tsuboyama_2023_2LO1_all,DNJA1_HUMAN_Tsuboyama_2023_2LO1_epistatic,DOCK1_MOUSE_Tsuboyama_2023_2M0Y_all,DOCK1_MOUSE_Tsuboyama_2023_2M0Y_epistatic,EPHB2_HUMAN_Tsuboyama_2023_1F0M_all,EPHB2_HUMAN_Tsuboyama_2023_1F0M_epistatic,FECA_ECOLI_Tsuboyama_2023_2D1U_all,FECA_ECOLI_Tsuboyama_2023_2D1U_epistatic,HECD1_HUMAN_Tsuboyama_2023_3DKM_all,HECD1_HUMAN_Tsuboyama_2023_3DKM_epistatic,ISDH_STAAW_Tsuboyama_2023_2LHR_all,ISDH_STAAW_Tsuboyama_2023_2LHR_epistatic,MAFG_MOUSE_Tsuboyama_2023_1K1V_all,MAFG_MOUSE_Tsuboyama_2023_1K1V_epistatic,MBD11_ARATH_Tsuboyama_2023_6ACV_all,MBD11_ARATH_Tsuboyama_2023_6ACV_epistatic,MYO3_YEAST_Tsuboyama_2023_2BTT_all,MYO3_YEAST_Tsuboyama_2023_2BTT_epistatic,NKX31_HUMAN_Tsuboyama_2023_2L9R_all,NKX31_HUMAN_Tsuboyama_2023_2L9R_epistatic,NUSA_ECOLI_Tsuboyama_2023_1WCL_all,NUSA_ECOLI_Tsuboyama_2023_1WCL_epistatic,NUSG_MYCTU_Tsuboyama_2023_2MI6_all,NUSG_MYCTU_Tsuboyama_2023_2MI6_epistatic,OBSCN_HUMAN_Tsuboyama_2023_1V1C_all,OBSCN_HUMAN_Tsuboyama_2023_1V1C_epistatic,ODP2_GEOSE_Tsuboyama_2023_1W4G_all,ODP2_GEOSE_Tsuboyama_2023_1W4G_epistatic,PIN1_HUMAN_Tsuboyama_2023_1I6C_all,PIN1_HUMAN_Tsuboyama_2023_1I6C_epistatic,PITX2_HUMAN_Tsuboyama_2023_2L7M_all,PITX2_HUMAN_Tsuboyama_2023_2L7M_epistatic,POLG_PESV_Tsuboyama_2023_2MXD_all,POLG_PESV_Tsuboyama_2023_2MXD_epistatic,PR40A_HUMAN_Tsuboyama_2023_1UZC_all,PR40A_HUMAN_Tsuboyama_2023_1UZC_epistatic,PSAE_SYNP2_Tsuboyama_2023_1PSE_all,PSAE_SYNP2_Tsuboyama_2023_1PSE_epistatic,RAD_ANTMA_Tsuboyama_2023_2CJJ_all,RAD_ANTMA_Tsuboyama_2023_2CJJ_epistatic,RBP1_HUMAN_Tsuboyama_2023_2KWH_all,RBP1_HUMAN_Tsuboyama_2023_2KWH_epistatic,RCD1_ARATH_Tsuboyama_2023_5OAO_all,RCD1_ARATH_Tsuboyama_2023_5OAO_epistatic,RCRO_LAMBD_Tsuboyama_2023_1ORC_all,RCRO_LAMBD_Tsuboyama_2023_1ORC_epistatic,RD23A_HUMAN_Tsuboyama_2023_1IFY_all,RD23A_HUMAN_Tsuboyama_2023_1IFY_epistatic,RFAH_ECOLI_Tsuboyama_2023_2LCL_all,RFAH_ECOLI_Tsuboyama_2023_2LCL_epistatic,RL20_AQUAE_Tsuboyama_2023_1GYZ_all,RL20_AQUAE_Tsuboyama_2023_1GYZ_epistatic,RPC1_BP434_Tsuboyama_2023_1R69_all,RPC1_BP434_Tsuboyama_2023_1R69_epistatic,SAV1_MOUSE_Tsuboyama_2023_2YSB_all,SAV1_MOUSE_Tsuboyama_2023_2YSB_epistatic,SDA_BACSU_Tsuboyama_2023_1PV0_all,SDA_BACSU_Tsuboyama_2023_1PV0_epistatic,SPA_STAAU_Tsuboyama_2023_1LP1_all,SPA_STAAU_Tsuboyama_2023_1LP1_epistatic,SPG2_STRSG_Tsuboyama_2023_5UBS_all,SPG2_STRSG_Tsuboyama_2023_5UBS_epistatic,SPTN1_CHICK_Tsuboyama_2023_1TUD_all,SPTN1_CHICK_Tsuboyama_2023_1TUD_epistatic,SR43C_ARATH_Tsuboyama_2023_2N88_all,SR43C_ARATH_Tsuboyama_2023_2N88_epistatic,SRBS1_HUMAN_Tsuboyama_2023_2O2W_all,SRBS1_HUMAN_Tsuboyama_2023_2O2W_epistatic,TCRG1_MOUSE_Tsuboyama_2023_1E0L_all,TCRG1_MOUSE_Tsuboyama_2023_1E0L_epistatic,THO1_YEAST_Tsuboyama_2023_2WQG_all,THO1_YEAST_Tsuboyama_2023_2WQG_epistatic,TNKS2_HUMAN_Tsuboyama_2023_5JRT_all,TNKS2_HUMAN_Tsuboyama_2023_5JRT_epistatic,UBE4B_HUMAN_Tsuboyama_2023_3L1X_all,UBE4B_HUMAN_Tsuboyama_2023_3L1X_epistatic,UBR5_HUMAN_Tsuboyama_2023_1I2T_all,UBR5_HUMAN_Tsuboyama_2023_1I2T_epistatic,VILI_CHICK_Tsuboyama_2023_1YU5_all,VILI_CHICK_Tsuboyama_2023_1YU5_epistatic,YAIA_ECOLI_Tsuboyama_2023_2KVT_all,YAIA_ECOLI_Tsuboyama_2023_2KVT_epistatic,YNZC_BACSU_Tsuboyama_2023_2JVD_all,YNZC_BACSU_Tsuboyama_2023_2JVD_epistatic
10,ESM1b_esm1b_t33_650M_UR50S,0.05,0.03,-0.10,0.02,0.11,0.15,0.65,0.63,0.43,0.49,0.27,0.26,0.20,0.28,0.36,0.33,0.44,0.43,0.32,0.26,0.23,0.30,0.39,0.36,-0.09,-0.12,0.40,0.36,-0.04,-0.03,0.26,0.29,0.49,0.49,0.16,0.14,0.49,0.36,0.20,0.19,0.48,0.47,0.04,0.02,0.36,0.39,0.08,0.05,0.06,0.11,0.13,0.10,,,0.33,0.52,0.26,0.32,-0.33,-0.37,0.09,0.20,0.15,0.12,-0.48,-0.49,0.47,0.47,0.22,0.19,0.09,0.03,0.11,0.12,-0.20,-0.20,-0.09,-0.18,0.49,0.47,0.50,0.53,0.32,0.28,0.51,0.50,-0.20,-0.19,0.19,0.17,0.14,0.13,0.48,0.43,0.11,0.02,0.25,0.21,0.35,0.34
11,ESM1v_esm1v_t33_650M_UR90S_1,0.15,0.13,-0.07,0.11,0.04,0.07,0.60,0.56,0.50,0.54,0.34,0.33,0.28,0.38,0.35,0.30,0.41,0.40,0.36,0.29,0.27,0.33,0.08,0.08,0.26,0.23,0.33,0.28,-0.18,-0.19,-0.11,-0.09,0.41,0.43,0.05,0.03,0.39,0.28,0.27,0.26,0.62,0.62,-0.03,0.00,0.31,0.33,-0.07,-0.10,0.00,0.05,-0.16,-0.18,,,0.46,0.57,0.12,0.20,-0.34,-0.35,-0.30,-0.22,0.56,0.56,-0.41,-0.40,0.50,0.50,0.16,0.09,0.04,0.01,-0.28,-0.25,-0.31,-0.28,-0.20,-0.30,0.55,0.52,0.36,0.39,0.17,0.10,0.54,0.53,0.08,0.02,-0.14,-0.19,0.21,0.23,0.19,0.02,0.06,-0.03,0.29,0.26,0.28,0.28
12,ESM1v_esm1v_t33_650M_UR90S_2,-0.05,-0.07,0.02,0.16,0.11,0.14,0.59,0.55,0.39,0.44,0.19,0.18,0.35,0.43,0.36,0.30,0.40,0.37,0.32,0.26,0.24,0.30,0.23,0.21,0.22,0.20,0.35,0.32,-0.17,-0.17,-0.10,-0.07,0.35,0.37,0.12,0.11,0.43,0.31,0.25,0.25,0.63,0.63,-0.01,0.02,0.27,0.30,-0.19,-0.24,0.20,0.23,-0.34,-0.28,,,0.45,0.59,0.20,0.27,-0.36,-0.38,0.05,0.17,0.49,0.49,-0.12,-0.11,0.38,0.37,0.27,0.17,0.13,0.11,-0.18,-0.18,-0.26,-0.25,-0.32,-0.42,0.43,0.39,0.46,0.44,0.17,0.14,0.55,0.53,-0.16,-0.14,-0.09,-0.02,0.24,0.26,0.44,0.30,0.09,-0.00,0.25,0.28,0.16,0.16
13,ESM1v_esm1v_t33_650M_UR90S_3,-0.09,-0.11,-0.01,0.17,0.26,0.28,0.52,0.49,0.40,0.46,0.34,0.34,0.36,0.41,0.37,0.35,0.43,0.37,0.31,0.24,-0.00,0.05,0.14,0.12,0.23,0.21,0.43,0.39,-0.14,-0.14,-0.19,-0.19,0.31,0.33,0.21,0.19,0.38,0.26,0.24,0.25,0.55,0.56,-0.08,-0.02,0.24,0.28,-0.24,-0.27,0.08,0.12,0.47,0.41,,,0.44,0.55,0.15,0.23,-0.41,-0.42,-0.21,-0.05,0.46,0.47,-0.46,-0.46,0.41,0.41,0.39,0.39,0.12,0.10,-0.07,-0.05,-0.22,-0.21,-0.31,-0.36,0.52,0.52,0.36,0.35,0.18,0.11,0.55,0.55,0.03,-0.01,-0.07,-0.07,0.15,0.18,0.26,0.10,0.31,0.28,0.28,0.29,0.18,0.18
14,ESM1v_esm1v_t33_650M_UR90S_4,0.23,0.23,-0.05,0.04,0.08,0.10,0.57,0.57,0.38,0.44,0.35,0.33,0.31,0.41,0.37,0.32,0.62,0.59,0.37,0.31,0.14,0.19,0.29,0.28,0.03,0.01,0.34,0.30,-0.13,-0.13,0.26,0.28,0.41,0.44,0.14,0.13,0.43,0.31,0.35,0.34,0.61,0.63,-0.02,0.01,0.22,0.22,-0.16,-0.20,0.02,0.08,0.34,0.30,,,0.40,0.54,0.16,0.24,-0.39,-0.40,-0.03,0.19,0.48,0.50,-0.48,-0.48,0.41,0.42,0.31,0.23,0.09,0.07,-0.32,-0.31,-0.28,-0.26,-0.20,-0.32,0.52,0.50,0.32,0.35,0.26,0.22,0.59,0.57,0.08,0.02,0.06,0.10,0.19,0.22,0.19,0.01,0.40,0.34,0.29,0.34,0.37,0.36
15,ESM1v_esm1v_t33_650M_UR90S_5,0.42,0.39,-0.03,0.14,0.24,0.25,0.55,0.54,0.28,0.33,0.30,0.28,0.31,0.38,-0.01,0.05,0.32,0.31,0.35,0.29,0.25,0.31,0.38,0.37,0.19,0.15,0.31,0.27,0.23,0.26,-0.01,0.01,0.48,0.49,0.14,0.12,0.43,0.31,0.30,0.31,0.65,0.65,-0.21,-0.08,0.34,0.35,-0.09,-0.14,0.19,0.21,0.51,0.49,,,0.35,0.56,0.07,0.16,-0.35,-0.37,-0.21,-0.21,0.51,0.53,-0.27,-0.28,0.53,0.53,0.25,0.17,-0.05,-0.10,-0.14,-0.12,-0.30,-0.27,-0.25,-0.34,0.50,0.50,0.30,0.32,0.18,0.11,0.58,0.56,0.05,0.01,-0.07,-0.08,0.20,0.22,0.20,-0.01,0.17,0.09,0.33,0.35,0.36,0.36
16,ESM1v_Ensemble_ESM1v,0.22,0.19,-0.03,0.14,0.15,0.17,0.60,0.57,0.40,0.46,0.32,0.31,0.35,0.43,0.36,0.32,0.46,0.43,0.34,0.28,0.16,0.22,0.26,0.24,0.22,0.19,0.36,0.32,-0.10,-0.09,-0.05,-0.02,0.41,0.43,0.13,0.11,0.41,0.30,0.29,0.29,0.63,0.63,-0.06,-0.00,0.29,0.31,-0.17,-0.21,0.11,0.15,0.20,0.17,,,0.42,0.58,0.14,0.22,-0.36,-0.38,-0.16,-0.03,0.54,0.55,-0.41,-0.41,0.46,0.46,0.29,0.22,0.08,0.05,-0.22,-0.20,-0.28,-0.26,-0.26,-0.36,0.51,0.49,0.38,0.39,0.19,0.13,0.57,0.56,0.02,-0.01,-0.07,-0.05,0.21,0.23,0.28,0.10,0.21,0.13,0.31,0.33,0.32,0.31
17,ESM2_150M_esm2_t30_150M_UR50D,-0.07,-0.05,0.00,0.21,0.14,0.18,0.74,0.72,0.32,0.35,0.39,0.37,0.17,0.28,0.34,0.25,0.42,0.40,0.33,0.27,0.26,0.32,0.39,0.37,0.20,0.18,0.36,0.32,-0.15,-0.14,0.41,0.42,0.55,0.57,0.30,0.25,0.47,0.35,0.24,0.24,0.72,0.72,0.01,-0.02,0.35,0.38,0.42,0.40,-0.02,0.03,0.54,0.45,,,0.15,0.49,0.19,0.27,-0.35,-0.39,0.14,0.30,0.56,0.57,-0.55,-0.54,0.48,0.50,0.31,0.27,-0.02,-0.01,0.15,0.16,-0.29,-0.27,-0.29,-0.40,0.48,0.47,0.46,0.49,0.41,0.37,0.58,0.57,-0.10,-0.09,0.07,-0.03,0.28,0.28,0.08,-0.10,0.04,-0.03,0.32,0.29,0.25,0.23
18,ESM2_15B_esm2_t48_15B_UR50D,-0.16,-0.14,0.02,0.12,0.25,0.23,0.55,0.55,0.39,0.40,0.19,0.19,0.07,0.08,0.23,0.13,0.32,0.29,0.32,0.28,0.08,0.14,0.32,0.31,0.07,0.06,0.36,0.34,-0.04,-0.06,0.19,0.18,0.08,0.06,0.15,0.10,0.48,0.38,0.30,0.31,0.62,0.61,0.08,0.03,0.10,0.15,0.05,0.01,0.01,0.07,0.16,0.12,,,0.26,0.52,0.19,0.19,-0.19,-0.25,0.45,0.36,0.43,0.39,-0.04,-0.06,0.45,0.43,0.00,-0.02,0.11,0.09,0.11,0.12,-0.29,-0.28,-0.26,-0.37,0.55,0.52,0.27,0.29,0.32,0.26,0.59,0.58,-0.17,-0.13,-0.08,0.05,0.30,0.31,0.44,0.38,-0.01,-0.07,0.36,0.31,0.21,0.19
19,ESM2_35M_esm2_t12_35M_UR50D,0.28,0.27,-0.02,0.10,-0.01,0.03,0.69,0.67,0.26,0.33,0.50,0.47,0.50,0.56,0.46,0.43,0.44,0.43,0.31,0.25,0.17,0.23,0.27,0.25,0.18,0.16,0.36,0.32,-0.15,-0.15,-0.11,-0.09,0.33,0.35,0.34,0.28,0.48,0.35,0.40,0.42,0.67,0.68,-0.22,-0.10,0.45,0.47,0.35,0.32,0.11,0.14,0.42,0.37,,,0.14,0.42,0.13,0.21,-0.37,-0.38,0.08,0.22,0.51,0.52,-0.20,-0.20,0.36,0.35,0.22,0.19,0.28,0.24,-0.00,0.04,-0.26,-0.25,-0.22,-0.33,0.47,0.47,0.46,0.45,0.39,0.33,0.53,0.52,-0.02,-0.02,0.04,0.07,0.17,0.19,0.15,-0.05,0.36,0.34,0.40,0.39,0.38,0.36
20,ESM2_3B_esm2_t36_3B_UR50D,-0.10,-0.08,-0.02,0.05,0.37,0.36,0.63,0.59,0.38,0.40,0.18,0.19,0.05,0.07,0.31,0.21,0.23,0.23,0.29,0.23,0.21,0.27,0.34,0.32,-0.02,-0.02,0.42,0.40,-0.13,-0.13,0.31,0.33,0.46,0.47,0.16,0.10,0.48,0.38,0.23,0.24,0.67,0.67,-0.04,-0.07,0.31,0.35,0.30,0.29,0.05,0.09,0.17,0.09,,,0.24,0.54,0.05,0.13,-0.22,-0.29,0.09,-0.16,0.43,0.41,-0.46,-0.47,0.42,0.41,0.15,0.15,-0.03,-0.04,0.13,0.15,-0.30,-0.28,-0.15,-0.29,0.62,0.59,0.39,0.38,0.49,0.45,0.50,0.49,-0.19,-0.15,0.09,0.10,0.27,0.27,0.43,0.37,0.01,-0.07,0.35,0.30,0.24,0.23
21,ESM2_650M_esm2_t33_650M_UR50D,-0.17,-0.15,-0.04,0.09,0.23,0.23,0.64,0.60,0.33,0.37,0.35,0.34,0.34,0.35,0.43,0.33,0.40,0.37,0.34,0.29,0.23,0.29,0.36,0.33,0.05,0.02,0.33,0.30,-0.19,-0.18,0.31,0.34,0.55,0.55,0.24,0.19,0.48,0.37,0.28,0.30,0.71,0.70,0.05,0.00,0.34,0.37,0.41,0.39,0.11,0.16,0.42,0.33,,,0.23,0.56,0.25,0.32,-0.24,-0.30,0.19,0.03,0.49,0.48,-0.23,-0.24,0.58,0.57,0.12,0.04,-0.07,-0.08,0.11,0.11,-0.26,-0.25,-0.17,-0.30,0.53,0.55,0.37,0.39,0.36,0.31,0.54,0.53,-0.23,-0.22,0.06,0.10,0.25,0.25,0.17,0.03,0.06,-0.01,0.12,0.15,0.28,0.27
22,ESM2_8M_esm2_t6_8M_UR50D,-0.22,-0.22,0.23,0.21,-0.03,0.01,0.57,0.54,0.09,0.14,-0.27,-0.23,0.41,0.50,0.04,0.09,0.58,0.57,0.10,0.06,-0.30,-0.30,-0.09,-0.12,0.08,0.05,0.35,0.31,-0.08,-0.05,-0.08,-0.05,0.09,0.11,0.26,0.21,0.35,0.21,0.26,0.30,0.42,0.42,-0.11,-0.04,0.41,0.45,0.31,0.29,0.13,0.18,0.39,0.35,,,0.19,0.43,-0.02,0.07,-0.37,-0.38,-0.13,-0.14,0.02,0.03,-0.26,-0.27,0.27,0.25,0.41,0.34,0.07,0.08,-0.01,0.03,-0.30,-0.27,-0.24,-0.38,-0.33,-0.35,-0.47,-0.45,0.28,0.22,0.60,0.61,0.21,0.15,0.19,0.06,0.17,0.20,0.20,0.01,0.22,0.20,0.09,0.11,0.32,0.30
23,ESM-IF1_esmif1_ll,0.14,0.14,0.43,0.34,0.54,0.58,0.59,0.55,0.35,0.37,0.17,0.20,0.47,0.56,0.43,0.35,0.15,0.24,0.02,-0.03,0.46,0.52,0.34,0.33,0.19,0.17,0.24,0.22,0.13,0.13,0.56,0.57,0.34,0.32,0.17,0.17,0.55,0.44,0.56,0.59,0.67,0.67,0.25,0.23,0.25,0.29,0.42,0.37,0.50,0.43,0.62,0.60,,,0.39,0.60,0.29,0.38,-0.15,-0.20,0.58,0.59,0.47,0.44,0.04,0.03,0.58,0.61,0.32,0.33,0.31,0.25,0.14,0.16,0.39,0.37,0.31,0.32,0.39,0.31,0.39,0.47,0.47,0.45,0.63,0.65,0.23,0.23,-0.05,0.09,0.30,0.31,0.64,0.65,0.60,0.59,0.32,0.27,0.32,0.30
24,EVE_evol_indices_seed_1000,-0.09,-0.09,0.07,-0.03,-0.44,-0.43,-0.05,-0.06,-0.41,-0.43,-0.23,-0.24,-0.16,-0.26,-0.24,-0.15,-0.41,-0.37,-0.43,-0.43,-0.10,-0.14,-0.34,-0.32,0.06,0.06,-0.13,-0.10,-0.35,-0.38,-0.45,-0.46,-0.27,-0.28,-0.14,-0.10,-0.51,-0.39,-0.40,-0.42,-0.59,-0.60,0.05,0.09,-0.39,-0.42,-0.32,-0.29,-0.30,-0.34,-0.39,-0.35,,,-0.39,-0.61,0.20,0.12,0.26,0.31,-0.28,-0.00,-0.47,-0.50,0.35,0.35,-0.55,-0.53,-0.34,-0.31,-0.11,-0.08,-0.23,-0.22,-0.27,-0.21,0.06,0.07,-0.56,-0.58,-0.51,-0.52,-0.38,-0.32,-0.57,-0.57,0.10,0.05,-0.04,-0.09,-0.29,-0.31,-0.42,-0.34,-0.03,0.04,-0.34,-0.30,-0.21,-0.20
25,EVE_evol_indices_seed_2000,-0.09,-0.08,0.05,0.02,-0.43,-0.43,-0.13,-0.14,-0.41,-0.43,-0.37,-0.36,-0.18,-0.27,-0.26,-0.17,-0.39,-0.35,-0.43,-0.44,-0.04,-0.08,-0.33,-0.30,0.04,0.04,-0.13,-0.10,-0.37,-0.40,-0.46,-0.49,-0.34,-0.36,-0.20,-0.14,-0.51,-0.41,-0.36,-0.39,-0.62,-0.62,0.01,0.03,-0.35,-0.37,-0.35,-0.31,-0.28,-0.32,-0.36,-0.32,,,-0.37,-0.60,0.20,0.12,0.28,0.33,-0.29,-0.03,-0.52,-0.55,0.45,0.45,-0.54,-0.52,-0.03,0.09,-0.12,-0.08,-0.22,-0.21,-0.27,-0.21,0.06,0.07,-0.57,-0.60,-0.26,-0.34,-0.33,-0.29,-0.57,-0.56,0.10,0.05,0.03,0.02,-0.28,-0.30,-0.43,-0.35,-0.06,0.01,-0.34,-0.29,-0.23,-0.22
26,EVE_evol_indices_seed_3000,-0.09,-0.09,0.03,-0.03,-0.43,-0.42,-0.14,-0.13,-0.40,-0.42,-0.44,-0.42,-0.18,-0.26,-0.25,-0.16,-0.40,-0.35,-0.37,-0.37,-0.08,-0.12,-0.33,-0.30,0.05,0.05,-0.12,-0.09,-0.37,-0.40,-0.47,-0.49,-0.26,-0.29,-0.12,-0.07,-0.51,-0.39,-0.39,-0.43,-0.64,-0.64,-0.02,-0.00,-0.42,-0.45,-0.35,-0.32,-0.23,-0.27,-0.39,-0.36,,,-0.42,-0.61,0.19,0.11,0.28,0.33,-0.32,-0.06,-0.50,-0.53,0.45,0.45,-0.55,-0.53,0.45,0.40,-0.10,-0.07,-0.23,-0.23,-0.27,-0.21,0.05,0.03,-0.52,-0.53,-0.43,-0.43,-0.42,-0.36,-0.57,-0.57,0.09,0.04,-0.05,-0.10,-0.32,-0.33,-0.42,-0.32,-0.01,0.06,-0.36,-0.29,-0.25,-0.24
27,EVE_evol_indices_seed_4000,-0.12,-0.11,0.10,0.02,-0.42,-0.42,-0.24,-0.24,-0.41,-0.43,-0.42,-0.40,-0.17,-0.27,-0.26,-0.17,-0.40,-0.36,-0.44,-0.43,-0.13,-0.17,-0.33,-0.30,0.05,0.05,-0.13,-0.10,-0.38,-0.41,-0.47,-0.48,-0.33,-0.35,-0.22,-0.16,-0.50,-0.40,-0.32,-0.34,-0.60,-0.60,0.01,0.00,-0.34,-0.36,-0.32,-0.28,-0.28,-0.32,-0.37,-0.32,,,-0.40,-0.62,0.19,0.11,0.30,0.35,-0.27,-0.00,-0.48,-0.51,0.41,0.42,-0.53,-0.51,-0.26,-0.19,-0.09,-0.06,-0.24,-0.24,-0.28,-0.22,0.04,0.03,-0.53,-0.54,-0.49,-0.52,-0.30,-0.27,-0.57,-0.56,0.09,0.04,-0.01,-0.01,-0.27,-0.28,-0.44,-0.36,-0.01,0.06,-0.33,-0.28,-0.22,-0.22
28,EVE_evol_indices_seed_5000,-0.10,-0.09,0.08,-0.02,-0.43,-0.43,-0.25,-0.25,-0.41,-0.43,-0.37,-0.36,-0.17,-0.26,-0.26,-0.18,-0.40,-0.35,-0.40,-0.41,-0.08,-0.13,-0.33,-0.30,0.04,0.04,-0.13,-0.10,-0.37,-0.40,-0.48,-0.50,-0.30,-0.33,-0.15,-0.10,-0.52,-0.41,-0.37,-0.39,-0.62,-0.62,-0.03,-0.02,-0.38,-0.41,-0.35,-0.32,-0.28,-0.33,-0.41,-0.38,,,-0.40,-0.60,0.20,0.12,0.27,0.32,-0.15,0.14,-0.51,-0.55,0.41,0.41,-0.52,-0.50,-0.24,-0.18,-0.12,-0.09,-0.24,-0.23,-0.26,-0.20,0.04,0.09,-0.56,-0.58,-0.46,-0.48,-0.35,-0.31,-0.57,-0.57,0.10,0.05,-0.13,-0.24,-0.29,-0.31,-0.42,-0.33,-0.03,0.04,-0.33,-0.29,-0.24,-0.23
29,EVE_evol_indices_ensemble,-0.10,-0.09,0.07,-0.00,-0.44,-0.43,-0.16,-0.16,-0.41,-0.43,-0.39,-0.38,-0.17,-0.26,-0.26,-0.17,-0.40,-0.36,-0.43,-0.43,-0.09,-0.13,-0.33,-0.31,0.05,0.05,-0.13,-0.10,-0.37,-0.40,-0.47,-0.48,-0.31,-0.33,-0.17,-0.12,-0.51,-0.40,-0.36,-0.38,-0.62,-0.63,0.04,0.07,-0.38,-0.41,-0.34,-0.30,-0.29,-0.33,-0.39,-0.35,,,-0.40,-0.61,0.20,0.12,0.28,0.33,-0.26,0.03,-0.50,-0.54,0.42,0.42,-0.54,-0.52,-0.00,0.03,-0.11,-0.08,-0.23,-0.22,-0.27,-0.21,0.05,0.06,-0.55,-0.57,-0.46,-0.49,-0.36,-0.31,-0.57,-0.57,0.10,0.05,-0.05,-0.08,-0.29,-0.31,-0.43,-0.35,-0.03,0.04,-0.34,-0.29,-0.23,-0.22
30,EVmutation_prediction_epistatic,0.13,0.11,-0.02,-0.07,0.44,0.43,0.04,0.05,0.42,0.45,0.17,0.18,0.28,0.36,0.24,0.15,0.50,0.46,0.29,0.34,0.24,0.26,0.30,0.28,0.03,0.03,0.16,0.13,0.30,0.34,0.40,0.41,0.12,0.14,0.23,0.19,0.48,0.38,0.42,0.41,0.61,0.61,-0.07,-0.03,0.39,0.42,0.37,0.35,0.26,0.33,0.16,0.20,,,0.43,0.63,-0.14,-0.05,-0.35,-0.39,0.39,0.17,0.30,0.30,-0.35,-0.33,0.45,0.43,0.61,0.58,0.16,0.12,0.23,0.23,0.11,0.07,-0.08,-0.11,0.48,0.49,0.52,0.52,0.42,0.41,0.58,0.58,-0.14,-0.07,0.38,0.43,0.28,0.29,0.43,0.41,-0.07,-0.13,0.30,0.25,0.28,0.27
31,EVmutation_prediction_independent,0.14,0.12,-0.06,0.13,0.42,0.42,-0.11,-0.07,0.40,0.42,0.16,0.17,0.27,0.37,0.23,0.15,0.48,0.43,0.22,0.27,0.32,0.36,0.27,0.24,-0.03,-0.03,0.12,0.09,0.29,0.33,0.36,0.37,0.04,0.09,0.28,0.21,0.59,0.48,0.37,0.39,0.48,0.52,-0.10,-0.04,0.42,0.45,0.38,0.35,0.18,0.23,0.27,0.26,,,0.13,0.34,-0.20,-0.12,-0.35,-0.38,0.15,-0.04,0.47,0.50,-0.61,-0.58,0.67,0.67,0.67,0.65,0.17,0.13,0.25,0.26,0.18,0.12,-0.09,-0.12,0.43,0.46,0.51,0.52,0.31,0.25,0.58,0.58,-0.13,-0.07,0.14,0.18,0.20,0.19,0.38,0.30,-0.03,-0.10,0.32,0.29,0.31,0.29
32,GEMME_GEMME_score,0.11,0.08,-0.12,-0.08,0.66,0.64,0.44,0.38,0.45,0.46,0.23,0.23,0.25,0.36,0.19,0.08,0.50,0.45,0.35,0.30,0.26,0.31,0.31,0.27,-0.10,-0.09,0.08,0.03,0.39,0.39,0.37,0.39,0.12,0.10,0.19,0.14,0.58,0.48,0.36,0.39,0.54,0.55,-0.03,-0.06,0.30,0.32,0.23,0.22,0.33,0.33,0.29,0.25,,,0.20,0.50,0.04,0.10,-0.14,-0.20,0.22,-0.04,0.33,0.33,-0.29,-0.27,0.61,0.61,0.45,0.41,0.04,0.00,0.20,0.22,0.14,0.13,0.01,0.06,0.49,0.52,0.45,0.47,0.34,0.30,0.54,0.53,-0.14,-0.11,-0.10,-0.09,0.32,0.33,0.45,0.41,0.01,-0.05,0.37,0.36,0.24,0.21
33,MIF_mif_mif_score,-0.05,-0.04,0.42,0.30,0.54,0.57,0.49,0.44,0.30,0.30,-0.16,-0.13,0.44,0.54,0.25,0.18,0.27,0.28,-0.06,-0.13,0.39,0.43,0.38,0.35,0.16,0.14,0.43,0.40,0.28,0.29,0.38,0.35,0.30,0.27,0.24,0.20,0.51,0.42,0.47,0.50,0.56,0.57,0.19,0.16,0.18,0.20,0.18,0.11,0.30,0.28,0.53,0.46,,,0.31,0.53,0.20,0.28,-0.33,-0.39,0.17,0.30,0.30,0.27,-0.23,-0.23,0.46,0.46,0.18,0.12,0.05,0.01,0.16,0.18,0.27,0.25,-0.19,-0.23,0.34,0.28,-0.14,0.00,0.51,0.49,0.49,0.52,0.08,0.08,-0.05,0.03,0.34,0.34,0.56,0.51,0.42,0.40,0.45,0.40,0.37,0.34
