Unnamed: 0,model,AMFR_HUMAN_Tsuboyama_2023_4G3O_all,AMFR_HUMAN_Tsuboyama_2023_4G3O_epistatic,BBC1_YEAST_Tsuboyama_2023_1TG0_all,BBC1_YEAST_Tsuboyama_2023_1TG0_epistatic,BCHB_CHLTE_Tsuboyama_2023_2KRU_all,BCHB_CHLTE_Tsuboyama_2023_2KRU_epistatic,CATR_CHLRE_Tsuboyama_2023_2AMI_all,CATR_CHLRE_Tsuboyama_2023_2AMI_epistatic,CBPA2_HUMAN_Tsuboyama_2023_1O6X_all,CBPA2_HUMAN_Tsuboyama_2023_1O6X_epistatic,CBX4_HUMAN_Tsuboyama_2023_2K28_all,CBX4_HUMAN_Tsuboyama_2023_2K28_epistatic,CSN4_MOUSE_Tsuboyama_2023_1UFM_all,CSN4_MOUSE_Tsuboyama_2023_1UFM_epistatic,CUE1_YEAST_Tsuboyama_2023_2MYX_all,CUE1_YEAST_Tsuboyama_2023_2MYX_epistatic,DNJA1_HUMAN_Tsuboyama_2023_2LO1_all,DNJA1_HUMAN_Tsuboyama_2023_2LO1_epistatic,DOCK1_MOUSE_Tsuboyama_2023_2M0Y_all,DOCK1_MOUSE_Tsuboyama_2023_2M0Y_epistatic,EPHB2_HUMAN_Tsuboyama_2023_1F0M_all,EPHB2_HUMAN_Tsuboyama_2023_1F0M_epistatic,FECA_ECOLI_Tsuboyama_2023_2D1U_all,FECA_ECOLI_Tsuboyama_2023_2D1U_epistatic,HECD1_HUMAN_Tsuboyama_2023_3DKM_all,HECD1_HUMAN_Tsuboyama_2023_3DKM_epistatic,ISDH_STAAW_Tsuboyama_2023_2LHR_all,ISDH_STAAW_Tsuboyama_2023_2LHR_epistatic,MAFG_MOUSE_Tsuboyama_2023_1K1V_all,MAFG_MOUSE_Tsuboyama_2023_1K1V_epistatic,MBD11_ARATH_Tsuboyama_2023_6ACV_all,MBD11_ARATH_Tsuboyama_2023_6ACV_epistatic,MYO3_YEAST_Tsuboyama_2023_2BTT_all,MYO3_YEAST_Tsuboyama_2023_2BTT_epistatic,NKX31_HUMAN_Tsuboyama_2023_2L9R_all,NKX31_HUMAN_Tsuboyama_2023_2L9R_epistatic,NUSA_ECOLI_Tsuboyama_2023_1WCL_all,NUSA_ECOLI_Tsuboyama_2023_1WCL_epistatic,NUSG_MYCTU_Tsuboyama_2023_2MI6_all,NUSG_MYCTU_Tsuboyama_2023_2MI6_epistatic,OBSCN_HUMAN_Tsuboyama_2023_1V1C_all,OBSCN_HUMAN_Tsuboyama_2023_1V1C_epistatic,ODP2_GEOSE_Tsuboyama_2023_1W4G_all,ODP2_GEOSE_Tsuboyama_2023_1W4G_epistatic,PIN1_HUMAN_Tsuboyama_2023_1I6C_all,PIN1_HUMAN_Tsuboyama_2023_1I6C_epistatic,PITX2_HUMAN_Tsuboyama_2023_2L7M_all,PITX2_HUMAN_Tsuboyama_2023_2L7M_epistatic,POLG_PESV_Tsuboyama_2023_2MXD_all,POLG_PESV_Tsuboyama_2023_2MXD_epistatic,PR40A_HUMAN_Tsuboyama_2023_1UZC_all,PR40A_HUMAN_Tsuboyama_2023_1UZC_epistatic,PSAE_SYNP2_Tsuboyama_2023_1PSE_all,PSAE_SYNP2_Tsuboyama_2023_1PSE_epistatic,RAD_ANTMA_Tsuboyama_2023_2CJJ_all,RAD_ANTMA_Tsuboyama_2023_2CJJ_epistatic,RBP1_HUMAN_Tsuboyama_2023_2KWH_all,RBP1_HUMAN_Tsuboyama_2023_2KWH_epistatic,RCD1_ARATH_Tsuboyama_2023_5OAO_all,RCD1_ARATH_Tsuboyama_2023_5OAO_epistatic,RCRO_LAMBD_Tsuboyama_2023_1ORC_all,RCRO_LAMBD_Tsuboyama_2023_1ORC_epistatic,RD23A_HUMAN_Tsuboyama_2023_1IFY_all,RD23A_HUMAN_Tsuboyama_2023_1IFY_epistatic,RFAH_ECOLI_Tsuboyama_2023_2LCL_all,RFAH_ECOLI_Tsuboyama_2023_2LCL_epistatic,RL20_AQUAE_Tsuboyama_2023_1GYZ_all,RL20_AQUAE_Tsuboyama_2023_1GYZ_epistatic,RPC1_BP434_Tsuboyama_2023_1R69_all,RPC1_BP434_Tsuboyama_2023_1R69_epistatic,SAV1_MOUSE_Tsuboyama_2023_2YSB_all,SAV1_MOUSE_Tsuboyama_2023_2YSB_epistatic,SDA_BACSU_Tsuboyama_2023_1PV0_all,SDA_BACSU_Tsuboyama_2023_1PV0_epistatic,SPA_STAAU_Tsuboyama_2023_1LP1_all,SPA_STAAU_Tsuboyama_2023_1LP1_epistatic,SPG2_STRSG_Tsuboyama_2023_5UBS_all,SPG2_STRSG_Tsuboyama_2023_5UBS_epistatic,SPTN1_CHICK_Tsuboyama_2023_1TUD_all,SPTN1_CHICK_Tsuboyama_2023_1TUD_epistatic,SR43C_ARATH_Tsuboyama_2023_2N88_all,SR43C_ARATH_Tsuboyama_2023_2N88_epistatic,SRBS1_HUMAN_Tsuboyama_2023_2O2W_all,SRBS1_HUMAN_Tsuboyama_2023_2O2W_epistatic,TCRG1_MOUSE_Tsuboyama_2023_1E0L_all,TCRG1_MOUSE_Tsuboyama_2023_1E0L_epistatic,THO1_YEAST_Tsuboyama_2023_2WQG_all,THO1_YEAST_Tsuboyama_2023_2WQG_epistatic,TNKS2_HUMAN_Tsuboyama_2023_5JRT_all,TNKS2_HUMAN_Tsuboyama_2023_5JRT_epistatic,UBE4B_HUMAN_Tsuboyama_2023_3L1X_all,UBE4B_HUMAN_Tsuboyama_2023_3L1X_epistatic,UBR5_HUMAN_Tsuboyama_2023_1I2T_all,UBR5_HUMAN_Tsuboyama_2023_1I2T_epistatic,VILI_CHICK_Tsuboyama_2023_1YU5_all,VILI_CHICK_Tsuboyama_2023_1YU5_epistatic,YAIA_ECOLI_Tsuboyama_2023_2KVT_all,YAIA_ECOLI_Tsuboyama_2023_2KVT_epistatic,YNZC_BACSU_Tsuboyama_2023_2JVD_all,YNZC_BACSU_Tsuboyama_2023_2JVD_epistatic,category
38,MSA_Transformer_esm_msa1b_t12_100M_UR50S_seed4,-0.21,-0.18,0.03,0.2,0.26,0.25,0.62,0.56,0.32,0.39,0.18,0.19,0.13,0.19,0.3,0.21,0.59,0.56,0.28,0.19,0.19,0.26,0.38,0.35,0.0,-0.01,0.23,0.22,0.24,0.26,0.49,0.53,0.35,0.39,0.12,0.08,0.45,0.35,0.2,0.2,0.61,0.62,-0.03,-0.07,0.29,0.32,0.37,0.35,0.48,0.5,0.31,0.23,,,0.17,0.51,-0.29,-0.23,-0.3,-0.34,-0.03,-0.22,0.56,0.56,-0.3,-0.29,0.61,0.61,-0.25,-0.32,0.07,0.05,-0.09,-0.09,0.17,0.12,-0.29,-0.34,0.48,0.51,0.07,0.11,0.45,0.4,0.57,0.55,-0.2,-0.14,-0.04,0.02,0.17,0.17,0.46,0.43,-0.05,-0.13,0.17,0.15,0.15,0.14,MSA
41,MULAN_MULAN_small_MULAN_score,0.03,0.02,0.39,0.38,0.43,0.46,0.55,0.54,0.44,0.46,-0.09,-0.03,0.46,0.51,0.05,0.11,0.35,0.3,-0.08,-0.18,0.6,0.63,0.32,0.29,0.29,0.26,0.41,0.4,-0.14,-0.14,-0.06,-0.06,0.26,0.29,0.0,-0.04,0.6,0.55,0.26,0.31,0.61,0.62,0.13,0.16,0.23,0.25,0.32,0.29,0.3,0.32,0.29,0.34,,,0.19,0.29,0.28,0.35,-0.22,-0.22,-0.26,-0.09,0.47,0.46,-0.13,-0.13,0.73,0.72,0.43,0.32,-0.01,0.0,0.29,0.3,0.23,0.2,-0.1,-0.19,0.08,0.05,0.03,0.14,0.56,0.51,0.24,0.33,0.33,0.26,0.03,0.05,0.26,0.25,0.54,0.52,0.32,0.35,0.28,0.24,0.06,0.05,MULAN
42,PoET_PoET_score,-0.15,-0.12,-0.07,0.05,0.34,0.35,0.61,0.58,0.35,0.42,0.38,0.36,0.22,0.32,0.35,0.28,0.52,0.49,0.37,0.33,0.32,0.39,0.35,0.33,0.0,-0.01,0.04,0.04,0.24,0.24,0.39,0.41,0.44,0.46,0.2,0.16,0.46,0.36,0.27,0.29,0.62,0.62,-0.07,-0.09,0.41,0.44,0.26,0.22,0.38,0.39,0.4,0.36,,,0.35,0.58,0.01,0.09,-0.25,-0.31,0.48,0.32,0.48,0.47,-0.34,-0.35,0.5,0.5,0.42,0.38,0.26,0.24,-0.04,-0.03,0.04,0.05,0.03,-0.01,0.55,0.52,0.38,0.36,0.27,0.22,0.57,0.56,0.09,0.07,-0.05,0.02,0.21,0.22,0.42,0.42,0.09,-0.01,0.05,0.03,0.21,0.22,PoET
48,ProSST_ProSST-1024_ProSST-1024,0.34,0.35,0.13,0.11,0.27,0.29,0.66,0.62,0.7,0.7,0.3,0.3,0.38,0.53,0.34,0.36,0.59,0.54,0.39,0.32,0.46,0.49,0.46,0.42,0.03,-0.01,0.51,0.46,0.49,0.48,0.5,0.53,0.56,0.6,0.08,0.06,0.64,0.56,0.65,0.68,0.61,0.6,0.24,0.24,0.47,0.49,0.46,0.44,0.73,0.7,0.65,0.57,,,0.14,0.47,0.58,0.6,-0.2,-0.24,0.5,0.55,0.7,0.69,-0.08,-0.05,0.67,0.67,0.45,0.41,0.33,0.29,0.44,0.45,-0.04,0.0,0.53,0.47,0.6,0.66,0.4,0.46,0.52,0.48,0.64,0.62,0.25,0.16,0.33,0.29,0.28,0.28,0.41,0.43,0.75,0.73,0.55,0.49,0.55,0.52,ProSST
47,Progen2_xlarge_Progen2_score,-0.45,-0.39,-0.2,-0.12,0.37,0.36,0.52,0.48,0.46,0.48,0.23,0.22,0.17,0.27,0.26,0.2,0.6,0.54,0.09,-0.0,0.17,0.25,0.18,0.16,-0.17,-0.17,0.14,0.12,-0.23,-0.22,0.39,0.42,0.17,0.16,0.15,0.12,0.38,0.28,0.18,0.16,0.35,0.34,0.01,-0.01,0.44,0.46,0.05,0.01,0.11,0.14,0.29,0.28,,,0.33,0.54,-0.15,-0.05,-0.32,-0.36,0.55,0.37,0.26,0.26,-0.52,-0.53,0.5,0.51,0.22,0.14,0.11,0.05,-0.52,-0.48,0.13,0.09,0.12,0.01,0.5,0.47,0.38,0.37,0.09,0.05,0.33,0.33,0.28,0.23,-0.69,-0.55,0.05,0.08,0.3,0.23,0.12,-0.02,-0.03,-0.03,0.28,0.27,Progen2
55,ProtGPT2_ProtGPT2_score,-0.32,-0.29,-0.15,-0.04,0.07,0.07,0.31,0.29,0.1,0.1,0.3,0.28,0.01,0.11,0.27,0.29,0.5,0.52,-0.14,-0.16,0.35,0.38,-0.02,-0.02,-0.0,-0.01,0.11,0.1,-0.19,-0.18,0.48,0.54,0.0,0.02,0.26,0.27,0.42,0.29,0.23,0.27,0.48,0.46,0.25,0.19,0.19,0.19,0.03,0.01,0.15,0.1,0.29,0.32,,,0.31,0.4,-0.03,0.07,-0.12,-0.11,-0.34,-0.3,0.19,0.15,-0.02,-0.0,0.46,0.44,0.37,0.36,0.2,0.19,0.06,0.05,-0.17,-0.17,-0.27,-0.35,0.44,0.41,0.41,0.37,0.14,0.09,0.62,0.59,0.04,0.05,-0.31,-0.21,0.26,0.28,0.02,0.12,-0.07,-0.04,-0.08,-0.05,0.21,0.2,ProtGPT2
64,ProtSSN_ProtSSN_k30_h1280,0.01,0.03,0.02,0.09,0.22,0.22,0.65,0.62,0.35,0.38,0.31,0.29,0.47,0.47,0.5,0.43,0.26,0.26,0.32,0.29,0.17,0.26,0.41,0.38,0.16,0.14,0.37,0.34,-0.05,-0.05,0.54,0.57,0.5,0.49,0.21,0.16,0.53,0.43,0.21,0.26,0.71,0.69,0.11,0.08,0.32,0.33,0.39,0.36,0.63,0.61,0.44,0.35,,,0.24,0.53,0.16,0.24,-0.25,-0.3,0.17,-0.04,0.7,0.7,0.07,0.07,0.63,0.63,0.32,0.29,-0.17,-0.15,0.23,0.24,0.03,0.01,-0.32,-0.43,0.6,0.61,0.39,0.4,0.33,0.28,0.58,0.58,-0.2,-0.2,0.25,0.27,0.19,0.21,0.55,0.49,-0.02,-0.05,0.27,0.27,0.36,0.34,ProtSSN
54,ProteinMPNN_pmpnn_ll,0.01,0.02,0.34,0.22,0.34,0.38,0.23,0.16,0.24,0.25,0.25,0.26,0.45,0.49,0.27,0.23,0.34,0.35,0.12,0.11,0.19,0.27,0.35,0.33,0.2,0.18,0.31,0.28,-0.01,-0.02,0.31,0.35,0.23,0.23,0.26,0.23,0.48,0.39,0.4,0.4,0.62,0.62,0.14,0.12,0.18,0.2,0.4,0.37,0.4,0.37,0.52,0.45,,,0.52,0.54,0.19,0.25,-0.09,-0.12,0.49,0.56,0.23,0.23,0.04,0.06,0.32,0.3,0.23,0.24,0.43,0.44,0.14,0.13,0.17,0.15,0.05,0.04,0.44,0.38,0.5,0.52,0.34,0.36,0.62,0.64,-0.01,0.01,0.01,-0.01,0.16,0.17,0.33,0.29,0.58,0.56,0.41,0.38,0.36,0.33,ProteinMPNN
69,RITA_xlarge_RITA_score,-0.52,-0.49,-0.16,-0.09,0.21,0.24,0.58,0.55,0.28,0.37,0.27,0.25,0.27,0.36,0.07,0.12,0.55,0.51,0.09,0.0,-0.02,0.05,0.09,0.06,-0.08,-0.07,-0.19,-0.21,-0.1,-0.1,0.24,0.23,0.21,0.23,0.13,0.11,0.38,0.3,0.28,0.31,0.53,0.52,-0.05,-0.08,0.31,0.35,-0.06,-0.12,0.1,0.12,0.32,0.28,,,0.25,0.45,0.28,0.36,-0.3,-0.31,-0.32,-0.26,0.23,0.23,-0.41,-0.4,0.55,0.54,0.45,0.42,-0.08,-0.12,-0.2,-0.15,-0.03,-0.04,-0.35,-0.42,0.5,0.47,0.27,0.22,0.14,0.14,0.34,0.32,0.12,0.1,-0.71,-0.61,0.1,0.14,0.35,0.27,0.15,0.11,-0.04,-0.05,0.22,0.2,RITA
70,SaProt_SaProt_35M_AF2_SaProt_score,0.28,0.27,0.29,0.38,0.02,0.04,0.68,0.67,0.6,0.61,0.51,0.48,0.6,0.65,0.46,0.45,0.45,0.41,0.32,0.25,0.4,0.46,0.45,0.42,0.06,0.05,0.4,0.37,0.19,0.2,0.47,0.47,0.39,0.41,0.12,0.08,0.54,0.44,0.43,0.44,0.65,0.65,0.08,0.08,0.39,0.44,0.29,0.26,0.65,0.65,0.67,0.64,,,0.23,0.44,0.22,0.31,-0.35,-0.39,0.57,0.65,0.45,0.46,-0.14,-0.15,0.78,0.79,0.58,0.55,0.4,0.34,0.19,0.21,0.13,0.12,-0.04,-0.16,0.35,0.31,0.49,0.53,0.53,0.5,0.62,0.62,0.17,0.11,0.32,0.2,0.14,0.17,0.41,0.28,0.72,0.71,0.63,0.59,0.54,0.51,SaProt
76,TranceptEVE_TranceptEVE_M_avg_score_R_to_L,0.13,0.11,-0.12,-0.03,0.4,0.41,0.33,0.34,0.38,0.41,0.33,0.32,0.22,0.31,0.27,0.19,0.5,0.46,0.45,0.42,0.06,0.13,0.3,0.27,-0.12,-0.11,0.02,-0.01,0.27,0.31,0.32,0.33,0.29,0.31,0.15,0.11,0.48,0.38,0.29,0.32,0.63,0.64,-0.03,-0.05,0.38,0.41,0.26,0.23,0.31,0.34,0.35,0.32,,,0.4,0.58,-0.11,-0.04,-0.26,-0.31,0.31,0.11,0.54,0.57,-0.5,-0.51,0.59,0.59,0.48,0.46,0.12,0.08,0.27,0.28,0.26,0.2,-0.21,-0.24,0.55,0.56,0.5,0.53,0.3,0.26,0.56,0.55,-0.11,-0.06,0.09,0.16,0.28,0.3,0.4,0.31,0.14,0.02,0.28,0.26,0.26,0.26,TranceptEVE
89,Tranception_Tranception_M_avg_score,0.17,0.15,-0.1,0.04,0.38,0.39,0.54,0.51,0.38,0.41,0.26,0.24,0.33,0.43,0.25,0.17,0.66,0.61,0.31,0.25,0.07,0.15,0.27,0.22,-0.05,-0.05,0.12,0.09,0.21,0.26,0.28,0.3,0.22,0.26,0.22,0.16,0.52,0.41,0.18,0.19,0.56,0.58,0.0,-0.04,0.33,0.38,0.22,0.19,0.28,0.3,0.3,0.26,,,0.27,0.48,-0.06,0.03,-0.3,-0.33,0.12,0.05,0.46,0.48,-0.55,-0.54,0.62,0.63,0.6,0.57,0.11,0.08,0.23,0.24,0.09,0.05,-0.42,-0.41,0.54,0.52,0.43,0.43,0.2,0.16,0.54,0.53,-0.02,0.01,0.12,0.17,0.18,0.18,0.39,0.3,0.12,0.02,0.24,0.22,0.34,0.31,Tranception
102,UniRep_Unirep_score,0.46,0.44,0.17,0.05,0.04,0.01,-0.64,-0.62,0.05,-0.04,0.37,0.33,-0.21,-0.28,-0.02,-0.08,-0.6,-0.57,0.16,0.21,0.2,0.18,0.02,0.06,0.05,0.07,-0.26,-0.24,0.01,-0.02,0.06,0.05,-0.11,-0.14,-0.33,-0.29,-0.37,-0.23,0.06,0.07,-0.41,-0.4,0.19,0.07,-0.38,-0.42,0.0,0.02,-0.01,-0.04,-0.45,-0.43,,,-0.19,-0.6,-0.06,-0.16,0.34,0.36,0.42,0.29,-0.13,-0.16,0.25,0.26,-0.4,-0.41,-0.43,-0.39,-0.05,-0.05,0.18,0.14,0.24,0.21,0.36,0.4,-0.02,-0.06,0.52,0.46,-0.09,-0.09,-0.62,-0.62,-0.17,-0.14,0.37,0.33,0.13,0.1,0.0,0.18,-0.25,-0.22,0.08,0.07,-0.25,-0.2,UniRep
105,VESPA_VESPAl,-0.24,-0.27,-0.23,-0.19,0.36,0.33,0.62,0.58,0.34,0.32,0.31,0.28,-0.03,0.02,0.23,0.14,0.29,0.25,0.29,0.23,0.07,0.15,-0.44,-0.42,-0.1,-0.08,-0.04,-0.07,0.26,0.29,0.21,0.22,-0.09,-0.11,0.07,0.03,0.54,0.42,-0.05,-0.06,0.45,0.43,0.04,0.04,0.21,0.22,-0.3,-0.31,0.42,0.44,0.14,0.05,,,-0.04,0.14,-0.23,-0.19,-0.23,-0.3,0.18,-0.06,-0.06,-0.06,-0.63,-0.62,0.64,0.65,-0.52,-0.53,-0.08,-0.08,0.06,0.06,-0.05,-0.06,-0.25,-0.22,0.47,0.46,0.28,0.28,-0.09,-0.04,0.46,0.45,-0.3,-0.29,-0.65,-0.61,0.2,0.22,0.42,0.34,0.33,0.24,0.2,0.16,0.13,0.09,VESPA
106,VespaG_VespaG,-0.11,-0.11,-0.1,-0.06,0.52,0.5,0.66,0.63,0.45,0.47,0.27,0.27,0.19,0.25,0.33,0.24,0.45,0.41,0.27,0.2,0.47,0.52,0.29,0.25,-0.2,-0.2,0.2,0.17,0.13,0.12,0.33,0.33,0.25,0.25,0.22,0.18,0.5,0.4,0.25,0.26,0.46,0.47,-0.06,-0.08,0.3,0.33,0.24,0.21,0.38,0.41,0.27,0.19,,,0.11,0.42,0.06,0.14,-0.18,-0.22,0.01,-0.25,0.41,0.39,-0.35,-0.36,0.53,0.52,-0.18,-0.24,-0.08,-0.11,-0.01,0.01,-0.13,-0.08,0.04,0.02,0.55,0.54,0.32,0.36,0.28,0.26,0.48,0.47,-0.18,-0.12,-0.12,-0.0,0.2,0.21,0.37,0.3,0.11,-0.0,0.37,0.31,0.2,0.18,VespaG
107,Wavenet_Wavenet_prediction,0.51,0.47,0.14,0.05,-0.25,-0.24,0.13,0.18,-0.35,-0.36,-0.31,-0.3,0.02,-0.05,0.04,0.13,-0.54,-0.5,-0.36,-0.34,-0.15,-0.19,-0.32,-0.3,0.01,-0.0,-0.07,-0.06,-0.24,-0.26,-0.39,-0.43,-0.15,-0.15,-0.07,-0.03,-0.35,-0.23,-0.23,-0.24,-0.52,-0.52,-0.01,0.02,-0.43,-0.46,-0.28,-0.25,-0.43,-0.42,-0.15,-0.18,,,-0.37,-0.61,0.06,-0.03,0.28,0.33,-0.43,-0.19,-0.26,-0.25,0.22,0.21,-0.49,-0.49,-0.39,-0.38,-0.02,0.01,0.05,0.05,-0.06,-0.01,-0.09,-0.1,-0.55,-0.55,-0.48,-0.46,-0.21,-0.19,-0.47,-0.42,0.12,0.07,0.1,-0.02,-0.17,-0.19,-0.42,-0.42,-0.08,0.05,-0.09,-0.04,-0.02,-0.01,Wavenet
